League_Name,Team_Name,Season,Player_Name,Scores
Fußball-Bundesliga,Bayern Munich,2024,Harry Kane,36
Fußball-Bundesliga,Stuttgart,2024,Serhou Guirassy,28
Ligue 1,Paris S-G,2024,Kylian Mbappé,27
Premier League,Manchester City,2024,Erling Haaland,27
Serie A,Inter,2024,Lautaro Martínez,25
La Liga,Girona,2024,Artem Dovbyk,24
Fußball-Bundesliga,RB Leipzig,2024,Loïs Openda,24
La Liga,Villarreal,2024,Alexander Sørloth,23
Premier League,Chelsea,2024,Cole Palmer,22
Premier League,Newcastle Utd,2024,Alexander Isak,21
Ligue 1,Lyon,2024,Alexandre Lacazette,19
Ligue 1,Lille,2024,Jonathan David,19
Premier League,Bournemouth,2024,Dominic Solanke,19
Premier League,Manchester City,2024,Phil Foden,19
Premier League,Aston Villa,2024,Ollie Watkins,19
La Liga,Barcelona,2024,Robert Lewandowski,19
La Liga,Real Madrid,2024,Jude Bellingham,19
Premier League,Liverpool,2024,Mohamed Salah,18
Fußball-Bundesliga,Stuttgart,2024,Deniz Undav,18
Premier League,Tottenham,2024,Son Heung-min,17
La Liga,Osasuna,2024,Ante Budimir,17
Ligue 1,Monaco,2024,Wissam Ben Yedder,16
Ligue 1,Marseille,2024,Pierre-Emerick Aubameyang,16
Premier League,Arsenal,2024,Bukayo Saka,16
Premier League,Crystal Palace,2024,Jean-Philippe Mateta,16
Premier League,West Ham,2024,Jarrod Bowen,16
La Liga,Sevilla,2024,Youssef En-Nesyri,16
La Liga,Atlético Madrid,2024,Antoine Griezmann,16
Fußball-Bundesliga,Hoffenheim,2024,Maximilian Beier,16
Serie A,Juventus,2024,Dušan Vlahović,16
Serie A,Milan,2024,Olivier Giroud,16
La Liga,Atlético Madrid,2024,Álvaro Morata,15
La Liga,Getafe,2024,Borja Mayoral,15
La Liga,Real Madrid,2024,Vinicius Júnior,15
Fußball-Bundesliga,Hoffenheim,2024,Andrej Kramarić,15
Fußball-Bundesliga,Augsburg,2024,Ermedin Demirović,15
Serie A,Roma,2024,Romelu Lukaku,15
Serie A,Napoli,2024,Victor Osimhen,15
