League_Name,Team,Tong_Tran,Tong_Thang,Tong_Hoa,Tong_Bai,Tong_BT,Tong_BB,Tong_HS,Tong_Diem
La Liga,Real Madrid,37,29,7,1,87,26,61,94
Serie A,Inter,37,29,6,2,87,20,67,93
Fußball-Bundesliga,Leverkusen,34,28,6,0,89,24,65,90
Premier League,Manchester City,37,27,7,3,93,33,60,88
Premier League,Arsenal,37,27,5,5,89,28,61,86
La Liga,Barcelona,34,24,6,4,69,35,34,78
La Liga,Girona,37,24,6,7,78,46,32,78
Ligue 1,Paris S-G,34,22,10,2,81,33,48,76
Premier League,Liverpool,36,22,10,4,80,39,41,76
La Liga,Atlético Madrid,37,23,4,10,68,43,25,73
Fußball-Bundesliga,Stuttgart,34,23,4,7,78,39,39,73
Fußball-Bundesliga,Bayern Munich,34,23,3,8,94,45,49,72
Serie A,Milan,36,21,8,7,72,46,26,71
Serie A,Juventus,37,18,14,5,52,31,21,68
Premier League,Aston Villa,37,20,8,9,76,56,20,68
Ligue 1,Monaco,34,20,7,7,68,42,26,67
La Liga,Athletic Club,37,18,11,8,60,37,23,65
Fußball-Bundesliga,RB Leipzig,34,19,8,7,77,39,38,65
Serie A,Bologna,36,17,14,5,52,29,23,65
Serie A,Atalanta,35,19,6,10,63,38,25,63
Fußball-Bundesliga,Dortmund,34,18,9,7,68,43,25,63
Premier League,Tottenham,36,19,6,11,69,57,12,63
Ligue 1,Brest,34,17,10,7,53,34,19,61
Serie A,Lazio,37,18,6,13,48,38,10,60
Serie A,Roma,36,17,9,10,60,44,16,60
Premier League,Chelsea,37,17,9,11,75,62,13,60
Ligue 1,Lille,34,16,11,7,52,34,18,59
La Liga,Real Sociedad,36,15,12,9,50,37,13,57
Premier League,Newcastle Utd,37,17,6,14,81,60,21,57
La Liga,Betis,37,14,14,9,48,45,3,56
Ligue 1,Nice,34,15,10,9,40,29,11,55
Premier League,Manchester Utd,36,16,6,14,51,56,-5,54
Serie A,Fiorentina,36,15,9,12,55,42,13,54
Ligue 1,Lyon,34,16,5,13,49,55,-6,53
Serie A,Torino,37,13,14,10,36,33,3,53
Premier League,West Ham,37,14,10,13,59,71,-12,52
Serie A,Napoli,35,13,12,10,54,46,8,51
Ligue 1,Lens,34,14,9,11,45,37,8,51
Ligue 1,Marseille,34,13,11,10,52,41,11,50
La Liga,Villarreal,36,13,10,13,59,61,-2,49
Premier League,Everton,37,13,9,15,39,49,-10,48
Premier League,Brighton,37,12,12,13,55,60,-5,48
Premier League,Bournemouth,37,13,9,15,53,65,-12,48
La Liga,Valencia,36,13,9,14,38,42,-4,48
Ligue 1,Reims,34,13,8,13,42,47,-5,47
Fußball-Bundesliga,Eint Frankfurt,34,11,14,9,51,50,1,47
Premier League,Crystal Palace,37,12,10,15,52,58,-6,46
Premier League,Wolves,37,13,7,17,50,63,-13,46
Serie A,Genoa,37,11,13,13,43,45,-2,46
Ligue 1,Rennes,34,12,10,12,53,46,7,46
Fußball-Bundesliga,Hoffenheim,33,13,7,13,65,62,3,46
La Liga,Alavés,37,12,9,16,35,45,-10,45
Premier League,Fulham,37,12,8,17,51,59,-8,44
La Liga,Osasuna,37,12,8,17,44,55,-11,44
Serie A,Monza,36,11,11,14,38,48,-10,44
Ligue 1,Toulouse,34,11,10,13,42,46,-4,43
Ligue 1,Montpellier,34,10,12,12,43,48,-5,42
Fußball-Bundesliga,Freiburg,34,11,9,14,45,58,-13,42
Fußball-Bundesliga,Werder Bremen,34,11,9,14,48,54,-6,42
Fußball-Bundesliga,Heidenheim,33,10,11,12,48,53,-5,41
La Liga,Sevilla,37,10,11,16,47,52,-5,41
La Liga,Getafe,36,9,13,14,38,51,-13,40
La Liga,Celta Vigo,37,10,10,17,44,55,-11,40
Ligue 1,Strasbourg,34,10,9,15,38,50,-12,39
Premier League,Brentford,37,10,9,18,54,61,-7,39
Fußball-Bundesliga,Augsburg,34,10,9,15,50,60,-10,39
La Liga,Rayo Vallecano,37,8,14,15,29,47,-18,38
La Liga,Las Palmas,36,10,8,18,31,45,-14,38
La Liga,Mallorca,37,7,16,14,31,43,-12,37
Fußball-Bundesliga,Wolfsburg,34,10,7,17,41,56,-15,37
Serie A,Hellas Verona,37,9,10,18,36,49,-13,37
Serie A,Lecce,36,8,12,16,31,53,-22,36
Serie A,Cagliari,36,8,12,16,40,61,-21,36
Serie A,Frosinone,36,8,11,17,43,66,-23,35
Fußball-Bundesliga,M'Gladbach,34,7,13,14,56,67,-11,34
Ligue 1,Nantes,34,9,6,19,30,55,-25,33
Fußball-Bundesliga,Bochum,34,7,12,15,42,74,-32,33
Premier League,Nott'ham Forest,37,8,9,20,47,66,-19,33
Ligue 1,Le Havre,34,7,11,16,34,45,-11,32
La Liga,Cádiz,35,6,14,15,24,46,-22,32
Serie A,Udinese,35,5,17,13,35,52,-17,32
Serie A,Empoli,36,8,8,20,27,53,-26,32
Fußball-Bundesliga,Mainz 05,33,6,14,13,35,50,-15,32
Fußball-Bundesliga,Union Berlin,33,9,5,19,31,56,-25,32
Ligue 1,Metz,34,8,5,21,35,58,-23,29
Ligue 1,Lorient,34,7,8,19,43,66,-23,29
Serie A,Sassuolo,37,7,8,22,42,74,-32,29
Fußball-Bundesliga,Köln,34,5,12,17,28,60,-32,27
Premier League,Luton Town,37,6,8,23,50,81,-31,26
Ligue 1,Clermont Foot,34,5,10,19,26,60,-34,25
Premier League,Burnley,37,5,9,23,40,76,-36,24
La Liga,Granada,36,4,8,24,35,69,-34,20
La Liga,Almería,36,2,12,22,36,71,-35,18
Fußball-Bundesliga,Darmstadt 98,34,3,8,23,30,86,-56,17
Serie A,Salernitana,36,2,10,24,28,74,-46,16
Premier League,Sheffield Utd,36,3,7,26,33,97,-64,16
