Match,League_Name,Season,Full_Date,Match_Week,Venue_Day,Venue_Time,Team_Name,Away_Team,Home_Score,Away_Score,Venue_Time_1,temp
7846,La Liga,2024,5/26/2024,38,Sun,2024-07-02 21:00:00 UTC,Sevilla,Barcelona,1,2,03:00,03:00
7844,La Liga,2024,5/26/2024,38,Sun,2024-07-02 15:15:00 UTC,Las Palmas,Alavés,1,1,21:15,21:15
12643,Serie A,2024,5/26/2024,38,Sun,2024-07-02 18:00:00 UTC,Atalanta,Torino,3,0,00:00,00:00
12644,Serie A,2024,5/26/2024,38,Sun,2024-07-02 18:00:00 UTC,Napoli,Lecce,0,0,00:00,00:00
12648,Serie A,2024,5/26/2024,38,Sun,2024-07-02 20:45:00 UTC,Hellas Verona,Inter,2,2,02:45,02:45
12645,Serie A,2024,5/26/2024,38,Sun,2024-07-02 20:45:00 UTC,Lazio,Sassuolo,1,1,02:45,02:45
12646,Serie A,2024,5/26/2024,38,Sun,2024-07-02 20:45:00 UTC,Empoli,Roma,2,1,02:45,02:45
12647,Serie A,2024,5/26/2024,38,Sun,2024-07-02 20:45:00 UTC,Frosinone,Udinese,0,1,02:45,02:45
7843,La Liga,2024,5/26/2024,38,Sun,2024-07-02 14:00:00 UTC,Getafe,Mallorca,1,2,20:00,20:00
7845,La Liga,2024,5/26/2024,38,Sun,2024-07-02 16:15:00 UTC,Celta Vigo,Valencia,2,2,22:15,22:15
7841,La Liga,2024,5/25/2024,38,Sat,2024-07-02 18:30:00 UTC,Rayo Vallecano,Athletic Club,0,1,00:30,00:30
7840,La Liga,2024,5/25/2024,38,Sat,2024-07-02 18:30:00 UTC,Almería,Cádiz,6,1,00:30,00:30
7842,La Liga,2024,5/25/2024,38,Sat,2024-07-02 21:00:00 UTC,Real Madrid,Betis,0,0,03:00,03:00
12641,Serie A,2024,5/25/2024,38,Sat,2024-07-02 18:00:00 UTC,Juventus,Monza,2,0,00:00,00:00
12642,Serie A,2024,5/25/2024,38,Sat,2024-07-02 20:45:00 UTC,Milan,Salernitana,3,3,02:45,02:45
7838,La Liga,2024,5/25/2024,38,Sat,2024-07-02 14:00:00 UTC,Osasuna,Villarreal,1,1,20:00,20:00
7839,La Liga,2024,5/25/2024,38,Sat,2024-07-02 16:15:00 UTC,Real Sociedad,Atlético Madrid,0,2,22:15,22:15
7837,La Liga,2024,5/24/2024,38,Fri,2024-07-02 21:00:00 UTC,Girona,Granada,7,0,03:00,03:00
12640,Serie A,2024,5/24/2024,38,Fri,2024-07-02 20:45:00 UTC,Genoa,Bologna,2,0,02:45,02:45
12639,Serie A,2024,5/23/2024,38,Thu,2024-07-02 20:45:00 UTC,Cagliari,Fiorentina,2,3,02:45,02:45
4805,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Liverpool,Wolves,2,0,22:00,22:00
4800,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Arsenal,Everton,2,1,22:00,22:00
4801,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Brighton,Manchester Utd,0,2,22:00,22:00
4806,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Burnley,Nott'ham Forest,1,2,22:00,22:00
4804,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Crystal Palace,Aston Villa,5,0,22:00,22:00
4799,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Manchester City,West Ham,3,1,22:00,22:00
4803,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Chelsea,Bournemouth,2,1,22:00,22:00
4798,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Sheffield Utd,Tottenham,0,3,22:00,22:00
4802,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Brentford,Newcastle Utd,2,4,22:00,22:00
4797,Premier League,2024,5/19/2024,38,Sun,2024-07-02 16:00:00 UTC,Luton Town,Fulham,2,4,22:00,22:00
2531,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Monaco,Nantes,4,0,03:00,03:00
2528,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Lyon,Strasbourg,2,1,03:00,03:00
2526,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Metz,Paris S-G,0,2,03:00,03:00
2532,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Lille,Nice,2,2,03:00,03:00
2524,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Toulouse,Brest,0,3,03:00,03:00
2527,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Reims,Rennes,2,1,03:00,03:00
2530,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Lorient,Clermont Foot,5,0,03:00,03:00
2529,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Lens,Montpellier,2,2,03:00,03:00
2525,Ligue 1,2024,5/19/2024,34,Sun,2024-07-02 21:00:00 UTC,Le Havre,Marseille,1,2,03:00,03:00
9991,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Wolfsburg,Mainz 05,1,3,21:30,21:30
9990,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Hoffenheim,Bayern Munich,4,2,21:30,21:30
9992,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Leverkusen,Augsburg,2,1,21:30,21:30
9987,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Werder Bremen,Bochum,4,1,21:30,21:30
9989,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Stuttgart,M'Gladbach,4,0,21:30,21:30
9994,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Eint Frankfurt,RB Leipzig,2,2,21:30,21:30
9988,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Dortmund,Darmstadt 98,4,0,21:30,21:30
9986,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Union Berlin,Freiburg,2,1,21:30,21:30
9993,Fußball-Bundesliga,2024,5/18/2024,34,Sat,2024-07-02 15:30:00 UTC,Heidenheim,Köln,4,1,21:30,21:30
