Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,13,Rubén,Pitch,https://fbref.com/en/players/24279b8b/Ruben,ESP,GK,33-311,90,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,2,Juanfran,Pitch,https://fbref.com/en/players/9ba48d64/Juanfran,ESP,RB,29-230,90,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,6,Raúl Albentosa,Pitch,https://fbref.com/en/players/348e4809/Raul-Albentosa,ESP,CB,29-234,90,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,7,Lucas Pérez,Pitch,https://fbref.com/en/players/a300ac7e/Lucas-Perez,ESP,FW,29-231,90,1,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,8,Emre Çolak,Pitch,https://fbref.com/en/players/643b39a6/Emre-Colak,TUR,AM,26-344,90,1,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,14,Michael Krohn-Dehli,Pitch,https://fbref.com/en/players/1c8dc17d/Michael-Krohn-Dehli,DEN,"RM,LM",34-327,90,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,16,Luisinho,Pitch,https://fbref.com/en/players/a7f00c8c/Luisinho,POR,LB,32-359,90,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,19,Borja Valle,Pitch,https://fbref.com/en/players/3a6a49f7/Borja-Valle,ESP,FW,25-294,85,0,1,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,20,Guilherme,Pitch,https://fbref.com/en/players/8754c7ca/Guilherme,BRA,DM,27-024,82,0,0,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
4/29/2018,Deportivo La Coruña,Home,4-1-2-1-2,22,Celso Borges,Pitch,https://fbref.com/en/players/b8836910/Celso-Borges,CRC,LM,29-337,85,0,1,0,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga
