League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Event_Time,Is_Pens,Event_Half,Event_Type,Event_Players,Score_Progression,Penalty_Number
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,7,FALSE,1,Goal,Philippe Coutinho Assist: Ousmane Dembélé,0:01,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,20,FALSE,1,Yellow Card,Fabian Schär,0:01,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,38,FALSE,1,Goal,Lionel Messi Assist: Luis Suárez,0:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,40,FALSE,1,Goal,Lucas Pérez Assist: Borja Valle,1:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,58,FALSE,2,Yellow Card,Nélson Semedo,1:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,64,FALSE,2,Goal,Emre Çolak Assist: Celso Borges,2:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,68,FALSE,2,Substitute,Denis Suárez for Ousmane Dembélé,2:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,74,FALSE,2,Substitute,Paulinho for Philippe Coutinho,2:02,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,82,FALSE,2,Goal,Lionel Messi Assist: Luis Suárez,2:03,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,83,FALSE,2,Substitute,Sulley Muntari for Guilherme,2:03,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,85,FALSE,2,Goal,Lionel Messi Assist: Luis Suárez,2:04,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,86,FALSE,2,Substitute,Federico Cartabia for Borja Valle,2:04,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Deportivo La Coruña,Home,86,FALSE,2,Substitute,Florin Andone for Celso Borges,2:04,NA
La Liga,4/29/2018,La Liga (Matchweek 35),Deportivo La Coruña,4-1-2-1-2,2,2.3,Lucas Pérez · 40&rsquor; Emre Çolak · 64&rsquor;,1,0,Barcelona,4/3/2003,4,3.6,Philippe Coutinho · 7&rsquor; Lionel Messi · 38&rsquor; Lionel Messi · 82&rsquor; Lionel Messi · 85&rsquor;,1,0,https://fbref.com/en/matches/e6360fe0/Deportivo-La-Coruna-Barcelona-April-29-2018-La-Liga,Barcelona,Away,87,FALSE,2,Substitute,Andrés Iniesta for Ivan Rakitić,2:04,NA
La Liga,2/9/2018,La Liga (Matchweek 23),Athletic Club,4-2-3-1,0,0.7,,4,0,Las Palmas,4-2-3-1,0,0.4,,4,0,https://fbref.com/en/matches/98d46d57/Athletic-Club-Las-Palmas-February-9-2018-La-Liga,Athletic Club,Home,12,FALSE,1,Yellow Card,Aritz Aduriz,0:00,NA
La Liga,2/9/2018,La Liga (Matchweek 23),Athletic Club,4-2-3-1,0,0.7,,4,0,Las Palmas,4-2-3-1,0,0.4,,4,0,https://fbref.com/en/matches/98d46d57/Athletic-Club-Las-Palmas-February-9-2018-La-Liga,Las Palmas,Away,12,FALSE,1,Yellow Card,Ximo Navarro,0:00,NA
La Liga,2/9/2018,La Liga (Matchweek 23),Athletic Club,4-2-3-1,0,0.7,,4,0,Las Palmas,4-2-3-1,0,0.4,,4,0,https://fbref.com/en/matches/98d46d57/Athletic-Club-Las-Palmas-February-9-2018-La-Liga,Las Palmas,Away,33,FALSE,1,Substitute,Tana for Hernán Toledo,0:00,NA
