Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
11/24/2017,Saint-Étienne,Home,4-2-3-1,16,Stéphane Ruffier,Pitch,https://fbref.com/en/players/cac76a72/Stephane-Ruffier,FRA,GK,31-058,90,0,0,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,2,Kévin Théophile-Catherine,Pitch,https://fbref.com/en/players/6b994195/Kevin-Theophile-Catherine,FRA,CB,28-027,90,0,0,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,5,Vincent Pajot,Pitch,https://fbref.com/en/players/f86ca403/Vincent-Pajot,FRA,DM,27-097,85,0,0,1,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,8,Assane Dioussé,Pitch,https://fbref.com/en/players/7f622eef/Assane-Diousse,SEN,DM,20-065,90,0,0,1,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,14,Jonathan Bamba,Pitch,https://fbref.com/en/players/b2bd0f6c/Jonathan-Bamba,CIV,RW,21-243,90,0,0,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,19,Florentin Pogba,Pitch,https://fbref.com/en/players/1e23a224/Florentin-Pogba,GUI,LB,27-097,90,0,0,1,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,20,Hernani,Pitch,https://fbref.com/en/players/6f5ead86/Hernani,BRA,AM,23-242,90,1,0,1,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,22,Kévin Monnet-Paquet,Pitch,https://fbref.com/en/players/4a57580c/Kevin-Monnet-Paquet,FRA,LW,29-097,90,1,1,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,23,Alexander Søderlund,Pitch,https://fbref.com/en/players/e61d33f1/Alexander-Soderlund,NOR,FW,30-113,71,0,0,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
11/24/2017,Saint-Étienne,Home,4-2-3-1,24,Loïc Perrin,Pitch,https://fbref.com/en/players/6b200d45/Loic-Perrin,FRA,CB,32-109,90,0,0,0,0,https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1
