League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Myron Boadu,/en/players/5b479568/Myron-Boadu,9,NED,FW,20-204,58,0,0,0,0,1,0,0,0,13,0,0,0,0.5,0.5,0,1,1,8,9,88.9,0,10,0,0,0
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Aleksandr Golovin,/en/players/3708e9fa/Aleksandr-Golovin,17,RUS,"LW,FW",25-068,32,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.1,2,0,17,26,65.4,1,22,2,2,1
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Kevin Volland,/en/players/64f69877/Kevin-Volland,31,GER,FW,29-007,58,0,0,0,0,2,0,0,0,26,0,0,2,0.1,0.1,0,2,0,14,18,77.8,7,19,1,2,1
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Wissam Ben Yedder,/en/players/942b4f90/Wissam-Ben-Yedder,10,FRA,FW,30-359,32,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,10,13,76.9,0,14,1,0,0
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Sofiane Diop,/en/players/19053e31/Sofiane-Diop,37,FRA,"LM,AM,RW",21-058,90,0,0,0,0,1,0,0,0,64,4,0,0,0.1,0.1,0,3,0,42,53,79.2,5,50,3,7,5
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Jean Lucas,/en/players/a99138af/Jean-Lucas,11,BRA,"CM,AM",23-045,81,0,0,0,0,2,0,0,0,92,7,1,0,0.2,0.2,0.1,4,0,69,79,87.3,7,70,2,1,0
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Djibril Sidibé,/en/players/4c5b714f/Djibril-Sidibe,19,FRA,RW,29-008,9,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0.1,1,0,6,11,54.5,0,6,1,0,0
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Aurélien Tchouaméni,/en/players/4f255115/Aurelien-Tchouameni,8,FRA,"CM,DM",21-191,90,0,0,0,0,4,1,0,0,95,1,4,0,0.3,0.3,0.1,5,0,72,84,85.7,12,66,0,1,0
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Gelson Martins,/en/players/3ef0fa48/Gelson-Martins,7,POR,RM,26-087,71,1,0,0,0,1,1,0,0,46,0,2,0,0.3,0.3,0,0,0,24,33,72.7,1,42,3,6,3
Ligue 1,8/6/2021,Ligue 1 (Matchweek 1),Monaco,4/4/2002,1,1.5,Gelson Martins · 14&rsquor;,0,0,Nantes,4-1-4-1,1,0.2,Jean-Charles Castelletto · 42&rsquor;,0,0,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,Monaco,Home,Youssouf Fofana,/en/players/822d51d7/Youssouf-Fofana,22,FRA,DM,22-208,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,16,19,84.2,2,16,1,0,0
