Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
10/19/2019,Dortmund,Home,4/4/2002,1,Roman Bürki,Pitch,https://fbref.com/en/players/9d12e142/Roman-Burki,SUI,GK,28-339,70,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,5,Achraf Hakimi,Pitch,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi,MAR,RM,20-349,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,6,Thomas Delaney,Pitch,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,DEN,CM,28-046,90,0,0,1,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,11,Marco Reus,Pitch,https://fbref.com/en/players/36a3ff67/Marco-Reus,GER,FW,30-141,90,1,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,14,Nico Schulz,Pitch,https://fbref.com/en/players/fa274d97/Nico-Schulz,GER,LB,26-201,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,15,Mats Hummels,Pitch,https://fbref.com/en/players/05d548d8/Mats-Hummels,GER,CB,30-307,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,16,Manuel Akanji,Pitch,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,SUI,RB,24-092,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,19,Julian Brandt,Pitch,https://fbref.com/en/players/a167537f/Julian-Brandt,GER,FW,23-170,89,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,23,Thorgan Hazard,Pitch,https://fbref.com/en/players/50871bcc/Thorgan-Hazard,BEL,LM,26-204,89,0,1,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,28,Axel Witsel,Pitch,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel,BEL,CM,30-280,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
10/19/2019,Dortmund,Home,4/4/2002,33,Julian Weigl,Pitch,https://fbref.com/en/players/346d51d9/Julian-Weigl,GER,CB,24-041,90,0,0,0,0,https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga
