"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Serie A","M","ITA",2018,NA,"1","Sat",2017-08-19,"18:00","Juventus",3,1.1,"Cagliari",0,1.4,39226,"Allianz Stadium","Fabio Maresca",NA,"https://fbref.com/en/matches/c6005f97/Juventus-Cagliari-August-19-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sat",2017-08-19,"20:45","Hellas Verona",1,1.3,"Napoli",3,2.1,15215,"Stadio Marc'Antonio Bentegodi","Michael Fabbri",NA,"https://fbref.com/en/matches/3a95d279/Hellas-Verona-Napoli-August-19-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"18:00","Atalanta",0,1.5,"Roma",1,0.4,19108,"Stadio Atleti Azzurri d'Italia","Piero Giacomelli",NA,"https://fbref.com/en/matches/634f9715/Atalanta-Roma-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Udinese",1,0.8,"Chievo",2,0.5,13000,"Dacia Arena","Claudio Gavillucci",NA,"https://fbref.com/en/matches/41ef2446/Udinese-Chievo-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Inter",3,2.3,"Fiorentina",0,0.6,51752,"Stadio Giuseppe Meazza","Paolo Tagliavento",NA,"https://fbref.com/en/matches/607c6fb5/Internazionale-Fiorentina-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Bologna",1,0.6,"Torino",1,0.4,19033,"Stadio Renato Dall'Ara","Davide Massa",NA,"https://fbref.com/en/matches/7697c084/Bologna-Torino-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Sampdoria",2,2.7,"Benevento",1,0.9,19223,"Stadio Comunale Luigi Ferraris","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/9456e693/Sampdoria-Benevento-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Crotone",0,0.4,"Milan",3,1.8,13478,"Stadio Ezio Scida","Maurizio Mariani",NA,"https://fbref.com/en/matches/9bd2e3b1/Crotone-Milan-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Lazio",0,0.8,"SPAL",0,0.6,25000,"Stadio Olimpico","Rosario Abisso",NA,"https://fbref.com/en/matches/c91aae8f/Lazio-SPAL-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"1","Sun",2017-08-20,"20:45","Sassuolo",0,0.5,"Genoa",0,0.9,8134,"Stadio Città del Tricolore","Antonio Damato",NA,"https://fbref.com/en/matches/eafae14e/Sassuolo-Genoa-August-20-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"10","Tue",2017-10-24,"20:45","Inter",3,2.6,"Sampdoria",2,0.9,54451,"Stadio Giuseppe Meazza","Marco Guida",NA,"https://fbref.com/en/matches/3688ffd0/Internazionale-Sampdoria-October-24-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"10","Wed",2017-10-25,"18:30","Atalanta",3,2.1,"Hellas Verona",0,1.3,16768,"Stadio Atleti Azzurri d'Italia","Livio Marinelli",NA,"https://fbref.com/en/matches/5f0d90f2/Atalanta-Hellas-Verona-October-25-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"10","Wed",2017-10-25,"20:45","Cagliari",2,2,"Benevento",1,1.3,13630,"Stadio Sant'Elia","Massimiliano Irrati",NA,"https://fbref.com/en/matches/010d22ec/Cagliari-Benevento-October-25-2017-Serie-A"
"Serie A","M","ITA",2018,NA,"10","Wed",2017-10-25,"20:45","Chievo",1,0.5,"Milan",4,1.4,7300,"Stadio Marc'Antonio Bentegodi","Marco Di Bello",NA,"https://fbref.com/en/matches/1efd4d56/Chievo-Milan-October-25-2017-Serie-A"
