"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2018-05-13","Serie A (Matchweek 37)","Atalanta","3-4-1-2",49,390,482,81,21,3,12,590,15,12,11,25,3,6,23,50,"7","1","Milan","4-3-3",51,395,500,79,10,8,20,589,8,12,8,20,1,16,23,86,"6","1","https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
"Serie A","2017-10-29","Serie A (Matchweek 11)","SPAL","3-5-2",34,217,300,72,15,4,15,408,12,10,12,42,2,8,16,75,"4","0","Genoa","3-5-2",66,475,574,83,24,5,18,649,11,3,11,18,3,9,17,60,"3","0","https://fbref.com/en/matches/137886ce/SPAL-Genoa-October-29-2017-Serie-A"
"Serie A","2018-04-04","Serie A (Matchweek 27)","Chievo","4-3-1-2",59,463,592,78,21,2,21,674,12,5,15,23,1,11,19,96,"4","0","Sassuolo","5-3-2",41,290,413,70,5,1,12,514,12,14,24,20,2,8,26,115,"3","2","https://fbref.com/en/matches/e619682d/Chievo-Sassuolo-April-4-2018-Serie-A"
"Serie A","2018-02-25","Serie A (Matchweek 26)","Sampdoria","4-3-1-2",56,460,564,82,11,5,18,668,14,7,9,22,2,7,25,80,"2","0","Udinese","3-1-4-2",44,331,442,75,16,4,21,543,23,12,12,15,2,9,22,93,"2","0","https://fbref.com/en/matches/440c9141/Sampdoria-Udinese-February-25-2018-Serie-A"
"Serie A","2017-09-20","Serie A (Matchweek 5)","Milan","3-1-4-2",58,484,572,85,19,9,27,677,17,12,10,24,0,2,19,60,"1","0","SPAL","3-5-2",42,328,418,78,15,8,22,517,10,14,7,32,5,12,13,60,"2","0","https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A"
"Serie A","2018-01-28","Serie A (Matchweek 22)","Roma","4-3-3",65,419,557,75,8,10,41,661,19,13,20,24,2,10,31,104,"2","0","Sampdoria","4-3-1-2",35,184,301,61,7,10,18,446,14,11,20,51,2,14,24,82,"2","0","https://fbref.com/en/matches/21ead339/Roma-Sampdoria-January-28-2018-Serie-A"
"Serie A","2018-03-10","Serie A (Matchweek 28)","Hellas Verona","4-2-3-1",42,252,376,67,11,3,19,494,18,8,23,36,2,10,40,85,"4","0","Chievo","4-3-1-2",58,401,517,78,16,4,25,639,19,12,24,30,4,5,33,74,"6","0","https://fbref.com/en/matches/1c7ea2c0/Hellas-Verona-Chievo-March-10-2018-Serie-A"
"Serie A","2017-12-10","Serie A (Matchweek 16)","Chievo","4-3-1-2",34,169,297,57,10,1,16,425,15,10,17,45,12,19,18,76,"1","0","Roma","4-3-3",66,432,564,77,8,13,42,684,5,14,37,18,3,9,28,86,"2","0","https://fbref.com/en/matches/ce7187d5/Chievo-Roma-December-10-2017-Serie-A"
"Serie A","2017-11-19","Serie A (Matchweek 13)","Torino","4-3-3",59,484,593,82,9,5,20,694,8,10,16,18,1,3,22,75,"1","0","Chievo","4-3-1-2",41,312,416,75,15,1,21,515,11,15,21,25,5,8,26,74,"1","1","https://fbref.com/en/matches/96e4bfc0/Torino-Chievo-November-19-2017-Serie-A"
"Serie A","2018-03-11","Serie A (Matchweek 28)","Sassuolo","4-3-3",42,255,373,68,13,9,29,468,21,14,13,9,1,9,23,80,"3","0","SPAL","3-5-2",58,411,508,81,14,3,12,625,17,13,11,36,3,8,22,67,"3","0","https://fbref.com/en/matches/d16c7882/Sassuolo-SPAL-March-11-2018-Serie-A"
