League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Event_Time,Is_Pens,Event_Half,Event_Type,Event_Players,Score_Progression,Penalty_Number
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,13,FALSE,1,Yellow Card,Andrea Masiello,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,17,FALSE,1,Yellow Card,Ignazio Abate,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,28,FALSE,1,Yellow Card,Marten de Roon,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,32,FALSE,1,Yellow Card,Nikola Kalinić,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,46,FALSE,2,Substitute,Riccardo Montolivo for Lucas Biglia,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,55,FALSE,2,Substitute,Josip Iličić for Musa Barrow,0:00,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,60,FALSE,2,Goal,Franck Kessié,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,64,FALSE,2,Yellow Card,Rafael Tolói,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,64,FALSE,2,Second Yellow Card,Rafael Tolói,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,66,FALSE,2,Yellow Card,Hakan Çalhanoğlu,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,69,FALSE,2,Substitute,Nicolas Haas for Bryan Cristante,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,69,FALSE,2,Yellow Card,Alessio Romagnoli,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,73,FALSE,2,Yellow Card,Robin Gosens,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,75,FALSE,2,Red Card,Riccardo Montolivo,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,78,FALSE,2,Substitute,Manuel Locatelli for Suso,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,79,FALSE,2,Substitute,Hans Hateboer for Timothy Castagne,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Milan,Away,83,FALSE,2,Substitute,Fabio Borini for Giacomo Bonaventura,0:01,NA
Serie A,5/13/2018,Serie A (Matchweek 37),Atalanta,3-4-1-2,1,1.8,Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;,7,1,Milan,4/3/2003,1,0.2,Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;,6,1,https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A,Atalanta,Home,86,FALSE,2,Yellow Card,Josip Iličić,0:01,NA
