Date_Key,Full_Date,Day_Of_Week,Day_Num_In_Month,Day_Name,Month,Month_Name,Quarter,Year
20130101,2013-01-01,2,1,Tuesday,1,January,1,2013
20130102,2013-01-02,3,2,Wednesday,1,January,1,2013
20130103,2013-01-03,4,3,Thursday,1,January,1,2013
20130104,2013-01-04,5,4,Friday,1,January,1,2013
20130105,2013-01-05,6,5,Saturday,1,January,1,2013
20130106,2013-01-06,7,6,Sunday,1,January,1,2013
20130107,2013-01-07,1,7,Monday,1,January,1,2013
20130108,2013-01-08,2,8,Tuesday,1,January,1,2013
20130109,2013-01-09,3,9,Wednesday,1,January,1,2013
20130110,2013-01-10,4,10,Thursday,1,January,1,2013
20130111,2013-01-11,5,11,Friday,1,January,1,2013
20130112,2013-01-12,6,12,Saturday,1,January,1,2013
20130113,2013-01-13,7,13,Sunday,1,January,1,2013
20130114,2013-01-14,1,14,Monday,1,January,1,2013
20130115,2013-01-15,2,15,Tuesday,1,January,1,2013
20130116,2013-01-16,3,16,Wednesday,1,January,1,2013
20130117,2013-01-17,4,17,Thursday,1,January,1,2013
20130118,2013-01-18,5,18,Friday,1,January,1,2013
20130119,2013-01-19,6,19,Saturday,1,January,1,2013
20130120,2013-01-20,7,20,Sunday,1,January,1,2013
20130121,2013-01-21,1,21,Monday,1,January,1,2013
20130122,2013-01-22,2,22,Tuesday,1,January,1,2013
20130123,2013-01-23,3,23,Wednesday,1,January,1,2013
20130124,2013-01-24,4,24,Thursday,1,January,1,2013
20130125,2013-01-25,5,25,Friday,1,January,1,2013
20130126,2013-01-26,6,26,Saturday,1,January,1,2013
20130127,2013-01-27,7,27,Sunday,1,January,1,2013
20130128,2013-01-28,1,28,Monday,1,January,1,2013
20130129,2013-01-29,2,29,Tuesday,1,January,1,2013
20130130,2013-01-30,3,30,Wednesday,1,January,1,2013
20130131,2013-01-31,4,31,Thursday,1,January,1,2013
20130201,2013-02-01,5,1,Friday,2,February,1,2013
20130202,2013-02-02,6,2,Saturday,2,February,1,2013
20130203,2013-02-03,7,3,Sunday,2,February,1,2013
20130204,2013-02-04,1,4,Monday,2,February,1,2013
20130205,2013-02-05,2,5,Tuesday,2,February,1,2013
20130206,2013-02-06,3,6,Wednesday,2,February,1,2013
20130207,2013-02-07,4,7,Thursday,2,February,1,2013
20130208,2013-02-08,5,8,Friday,2,February,1,2013
20130209,2013-02-09,6,9,Saturday,2,February,1,2013
20130210,2013-02-10,7,10,Sunday,2,February,1,2013
20130211,2013-02-11,1,11,Monday,2,February,1,2013
20130212,2013-02-12,2,12,Tuesday,2,February,1,2013
20130213,2013-02-13,3,13,Wednesday,2,February,1,2013
20130214,2013-02-14,4,14,Thursday,2,February,1,2013
20130215,2013-02-15,5,15,Friday,2,February,1,2013
20130216,2013-02-16,6,16,Saturday,2,February,1,2013
20130217,2013-02-17,7,17,Sunday,2,February,1,2013
20130218,2013-02-18,1,18,Monday,2,February,1,2013
20130219,2013-02-19,2,19,Tuesday,2,February,1,2013
20130220,2013-02-20,3,20,Wednesday,2,February,1,2013
20130221,2013-02-21,4,21,Thursday,2,February,1,2013
20130222,2013-02-22,5,22,Friday,2,February,1,2013
20130223,2013-02-23,6,23,Saturday,2,February,1,2013
20130224,2013-02-24,7,24,Sunday,2,February,1,2013
20130225,2013-02-25,1,25,Monday,2,February,1,2013
20130226,2013-02-26,2,26,Tuesday,2,February,1,2013
20130227,2013-02-27,3,27,Wednesday,2,February,1,2013
20130228,2013-02-28,4,28,Thursday,2,February,1,2013
20130301,2013-03-01,5,1,Friday,3,March,1,2013
20130302,2013-03-02,6,2,Saturday,3,March,1,2013
20130303,2013-03-03,7,3,Sunday,3,March,1,2013
20130304,2013-03-04,1,4,Monday,3,March,1,2013
20130305,2013-03-05,2,5,Tuesday,3,March,1,2013
20130306,2013-03-06,3,6,Wednesday,3,March,1,2013
20130307,2013-03-07,4,7,Thursday,3,March,1,2013
20130308,2013-03-08,5,8,Friday,3,March,1,2013
20130309,2013-03-09,6,9,Saturday,3,March,1,2013
20130310,2013-03-10,7,10,Sunday,3,March,1,2013
20130311,2013-03-11,1,11,Monday,3,March,1,2013
20130312,2013-03-12,2,12,Tuesday,3,March,1,2013
20130313,2013-03-13,3,13,Wednesday,3,March,1,2013
20130314,2013-03-14,4,14,Thursday,3,March,1,2013
20130315,2013-03-15,5,15,Friday,3,March,1,2013
20130316,2013-03-16,6,16,Saturday,3,March,1,2013
20130317,2013-03-17,7,17,Sunday,3,March,1,2013
20130318,2013-03-18,1,18,Monday,3,March,1,2013
20130319,2013-03-19,2,19,Tuesday,3,March,1,2013
20130320,2013-03-20,3,20,Wednesday,3,March,1,2013
20130321,2013-03-21,4,21,Thursday,3,March,1,2013
20130322,2013-03-22,5,22,Friday,3,March,1,2013
20130323,2013-03-23,6,23,Saturday,3,March,1,2013
20130324,2013-03-24,7,24,Sunday,3,March,1,2013
20130325,2013-03-25,1,25,Monday,3,March,1,2013
20130326,2013-03-26,2,26,Tuesday,3,March,1,2013
20130327,2013-03-27,3,27,Wednesday,3,March,1,2013
20130328,2013-03-28,4,28,Thursday,3,March,1,2013
20130329,2013-03-29,5,29,Friday,3,March,1,2013
20130330,2013-03-30,6,30,Saturday,3,March,1,2013
20130331,2013-03-31,7,31,Sunday,3,March,1,2013
20130401,2013-04-01,1,1,Monday,4,April,2,2013
20130402,2013-04-02,2,2,Tuesday,4,April,2,2013
20130403,2013-04-03,3,3,Wednesday,4,April,2,2013
20130404,2013-04-04,4,4,Thursday,4,April,2,2013
20130405,2013-04-05,5,5,Friday,4,April,2,2013
20130406,2013-04-06,6,6,Saturday,4,April,2,2013
20130407,2013-04-07,7,7,Sunday,4,April,2,2013
20130408,2013-04-08,1,8,Monday,4,April,2,2013
20130409,2013-04-09,2,9,Tuesday,4,April,2,2013
20130410,2013-04-10,3,10,Wednesday,4,April,2,2013
20130411,2013-04-11,4,11,Thursday,4,April,2,2013
20130412,2013-04-12,5,12,Friday,4,April,2,2013
20130413,2013-04-13,6,13,Saturday,4,April,2,2013
20130414,2013-04-14,7,14,Sunday,4,April,2,2013
20130415,2013-04-15,1,15,Monday,4,April,2,2013
