Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
3,51,4,Hernani,41,Normal
5,51,19,Jean-Eudes Aholou,44,Normal
6,51,4,Kévin Monnet-Paquet,56,Normal
8,51,19,Jonas Martin,63,Penalty
17,287,8,Luiz Araújo,13,Normal
19,287,8,Nicolas Pépé,45+2,Normal
20,287,5,Nolan Roux,49,Normal
25,287,8,Yves Bissouma,77,Normal
33,166,20,Max Gradel,67,Normal
48,106,4,Hernani,67,Normal
49,106,17,Nicolas Benezet,70,Normal
53,106,17,Jimmy Briand,90+5,Normal
58,114,4,Romain Hamouma,67,Normal
70,215,12,Emiliano Sala,86,Normal
71,44,19,Jérémy Blayac,28,Normal
77,44,19,Stéphane Bahoken,82,Normal
81,44,11,Adrien Hunou,88,Normal
82,81,19,Stéphane Bahoken,2,Normal
86,81,19,Dimitri Liénard,38,Normal
91,81,19,Martin Terrier,64,Normal
95,282,3,Memphis,39,Normal
97,282,3,Bertrand Traoré,68,Normal
106,355,17,Unknown,3,Penalty
108,355,15,Unknown,31,Penalty
109,355,15,François Kamano,31,Normal
115,355,17,Yannis Salibur,46,Normal
119,355,15,Alexandre Mendy,75,Normal
122,355,15,Jonathan Cafu,90+2,Normal
125,83,20,Damien Da Silva,61,OG
129,83,20,Max Gradel,74,Penalty
134,212,2,Thomas Meunier,5,Normal
135,212,2,Christopher Nkunku,20,Normal
136,212,2,Christopher Nkunku,28,Normal
138,212,2,Kylian Mbappé,45+1,Normal
143,212,2,Thiago Silva,82,Normal
154,118,19,Jonas Martin,74,Normal
155,118,8,Ibrahim Amadou,74,Normal
157,118,19,Dimitri Liénard,82,Penalty
159,118,19,Jérémy Grimm,88,Normal
160,259,3,Marcelo,1,Normal
161,259,3,Marcelo,20,Normal
164,259,3,Memphis,65,Normal
165,259,3,Bertrand Traoré,68,Normal
171,259,3,Mariano,86,Normal
172,102,1,Radamel Falcao,20,Normal
176,102,11,Wahbi Khazri,59,Penalty
180,102,1,Keita Baldé,81,Normal
187,302,19,Stéphane Bahoken,22,Normal
190,302,3,Nabil Fekir,50,Penalty
193,302,3,Houssem Aouar,73,Normal
198,302,19,Nuno da Costa,88,Normal
200,302,19,Dimitri Liénard,90+4,Normal
202,303,7,Karim Azamoum,31,Normal
205,303,6,Nicolas Cozza,58,Normal
210,66,20,Andy Delort,3,Normal
217,66,20,Unknown,50,Penalty
225,66,14,Mario Balotelli,80,Penalty
227,66,14,Bassem Srarfi,90+1,Normal
229,124,7,Unknown,12,Penalty
230,124,15,Gaëtan Laborde,15,Normal
240,214,4,Neven Subotić,35,Normal
247,214,11,Ismaila Sarr,86,Normal
252,80,6,Giovanni Sio,29,Normal
255,80,10,Florian Thauvin,45,Penalty
265,263,12,Préjuce Nakoulma,33,Normal
267,263,16,Kwon Chang-hoon,61,Normal
273,377,5,Fallou Diagne,21,Normal
278,377,4,Vincent Pajot,74,Normal
282,377,4,Unknown,85,Penalty
283,377,4,Cafú,85,OG
285,377,4,Habib Maïga,90+5,Normal
293,329,9,Lassana Coulibaly,60,Normal
295,329,8,Nicolas de Préville,68,Normal
302,123,14,Pierre Lees-Melou,66,Normal
309,76,1,Radamel Falcao,2,Normal
330,221,1,Radamel Falcao,78,Normal
332,201,14,Mario Balotelli,5,Normal
336,201,8,Luiz Araújo,51,Normal
340,201,14,Wylan Cyprien,80,Normal
344,241,2,Kylian Mbappé,12,Normal
346,241,2,Kylian Mbappé,25,Normal
353,241,9,Karl Toko Ekambi,75,Normal
362,375,17,Mustapha Diallo,57,Normal
370,375,17,Jimmy Briand,89,Normal
383,75,11,Wahbi Khazri,72,Normal
386,75,11,Benjamin André,84,Normal
393,33,6,Giovanni Sio,82,Normal
396,33,13,Danilo Avelar,88,Normal
407,321,2,Edinson Cavani,20,Penalty
411,321,2,Thiago Motta,51,Normal
419,321,2,Edinson Cavani,89,Normal
420,278,14,Pierre Lees-Melou,59,Normal
427,194,5,Florent Mollet,6,Penalty
429,194,17,Lucas Deaux,22,Normal
433,194,5,Nolan Roux,56,Normal
442,194,17,Lucas Deaux,86,Normal
444,334,13,Gaël Kakuta,13,Normal
463,349,14,Mario Balotelli,79,Normal
472,261,14,Alassane Pléa,67,Normal
476,261,9,Angelo Fulgini,84,Normal
485,154,5,Nolan Roux,50,Normal
488,154,14,Mario Balotelli,57,Normal
489,154,14,Unknown,57,Penalty
490,154,5,Nolan Roux,62,Normal
504,115,20,Jimmy Durmaz,43,Penalty
514,338,4,Rémy Cabella,1,Normal
517,338,9,Thomas Mangani,9,Penalty
528,150,3,Nabil Fekir,2,Normal
530,150,2,Layvin Kurzawa,45+3,Normal
540,150,3,Memphis,90+4,Normal
542,145,20,Giannelli Imbula,30,Normal
544,145,6,Junior Sambia,43,Normal
554,145,6,Giovanni Sio,90+5,Normal
555,332,2,Edinson Cavani,31,Normal
556,332,5,Emmanuel Rivière,37,Normal
560,332,2,Kylian Mbappé,59,Normal
562,332,2,Neymar,69,Normal
563,332,2,Edinson Cavani,75,Normal
568,332,2,Lucas Moura,87,Normal
577,310,1,Fabinho,90+1,Penalty
580,354,3,Nabil Fekir,20,Normal
581,354,16,Naïm Sliti,23,Penalty
583,354,16,Xeka,52,Normal
586,354,3,Houssem Aouar,60,Normal
587,354,3,Mariano,63,Penalty
589,354,16,Cédric Yamberé,65,Normal
597,209,6,Isaac Mbenza,7,Normal
600,209,3,Mariano,58,Normal
609,307,14,Mario Balotelli,2,Normal
610,307,14,Mario Balotelli,10,Penalty
612,307,14,Allan Saint-Maximin,36,Normal
617,307,14,Jean Seri,72,Normal
618,307,18,Christian Kouakou,76,Normal
625,24,11,Brandon,59,Normal
635,352,1,Stevan Jovetić,24,Normal
636,352,1,Rachid Ghezzal,30,Normal
638,352,1,Radamel Falcao,48,Normal
644,352,1,Radamel Falcao,73,Penalty
648,368,3,Mariano,5,Normal
649,368,9,Rafael,30,OG
650,368,3,Mouctar Diakhaby,38,Normal
651,368,3,Memphis,41,Normal
657,368,9,Karl Toko Ekambi,58,Normal
660,368,9,Ismaël Traoré,67,Normal
669,232,11,Ismaila Sarr,49,Normal
676,232,11,Yoann Gourcuff,86,Normal
677,169,3,Mariano,12,Normal
679,169,3,Bertrand Traoré,27,Normal
681,169,1,Keita Baldé,31,Normal
683,169,1,Unknown,36,Penalty
684,169,1,Radamel Falcao,36,Normal
691,169,1,Rony Lopes,88,Normal
693,292,4,Rémy Cabella,28,Penalty
694,292,15,Younousse Sankharé,30,Normal
695,292,15,Jules Koundé,36,Normal
705,292,4,Unknown,89,Penalty
707,292,15,Malcom,90+5,Normal
709,234,16,Wesley Saïd,26,Normal
712,234,6,Ellyes Skhiri,59,Normal
715,234,6,Giovanni Sio,66,Normal
722,234,16,Wesley Saïd,90+1,Normal
735,8,8,Júnior Alonso,48,Normal
739,8,8,Nicolas de Préville,67,Penalty
740,8,8,Anwar El Ghazi,70,Normal
759,161,10,Morgan Sanson,6,Normal
760,161,10,Florian Thauvin,9,Normal
762,161,10,Florian Thauvin,44,Normal
763,161,10,Valère Germain,49,Normal
764,161,10,Florian Thauvin,56,Normal
769,161,5,Florent Mollet,73,Normal
770,161,10,Kostas Mitroglou,75,Normal
773,161,5,Florent Mollet,84,Normal
774,161,5,Ibrahima Niane,90,Normal
775,126,16,Júlio Tavares,1,Normal
786,126,5,Nolan Roux,89,Normal
788,236,13,Moussa Konaté,38,Penalty
789,236,7,Adama Niane,47,Penalty
797,188,14,Dante,5,Normal
798,188,12,Emiliano Sala,27,Penalty
808,17,13,Guy Ngosso,64,Normal
816,311,4,Jonathan Bamba,7,Normal
817,311,4,Romain Hamouma,13,Normal
818,311,4,Romain Hamouma,39,Normal
822,311,4,Romain Hamouma,61,Normal
825,311,4,Kévin Malcuit,65,OG
828,305,13,Harrison Manzala,21,Penalty
836,305,13,Vahid Selimović,86,OG
838,173,6,Giovanni Sio,24,Normal
847,330,1,Kamil Glik,2,Normal
849,330,1,Radamel Falcao,20,Penalty
851,330,1,Radamel Falcao,34,Normal
854,330,1,Adama Diakhaby,45,Normal
859,330,1,Djibril Sidibé,68,Normal
860,330,10,Rémy Cabella,75,Normal
863,330,1,Fabinho,79,Penalty
872,247,6,Giovanni Sio,21,Normal
873,247,6,Ellyes Skhiri,23,Normal
878,247,6,Giovanni Sio,53,Normal
884,247,18,Ivan Santini,87,Normal
891,345,12,Andrei Girotto,73,Normal
894,55,20,Unknown,5,Penalty
898,55,16,Kwon Chang-hoon,42,Normal
900,55,16,Xeka,57,Normal
904,55,16,Wesley Saïd,64,Normal
905,55,20,Andy Delort,71,Normal
910,43,2,Edinson Cavani,38,Normal
911,43,2,Ángel Di María,42,Normal
916,43,12,Préjuce Nakoulma,60,Normal
918,43,2,Javier Pastore,65,Normal
922,43,2,Edinson Cavani,79,Normal
926,182,19,Jean-Eudes Aholou,6,Normal
927,182,2,Julian Draxler,10,Normal
928,182,2,Neymar,21,Normal
929,182,2,Ángel Di María,22,Normal
936,182,19,Stéphane Bahoken,67,Normal
938,182,2,Edinson Cavani,73,Normal
941,182,2,Edinson Cavani,79,Normal
944,177,15,Jules Koundé,31,Normal
945,177,15,Lukas Lerager,39,Normal
950,177,15,François Kamano,78,Normal
951,177,13,Stiven Mendoza,79,Normal
955,177,13,Gaël Kakuta,90,Normal
957,346,4,Jonathan Bamba,49,Penalty
968,339,3,Mariano,19,Normal
975,339,17,Marcus Thuram,71,Normal
976,339,3,Nabil Fekir,72,Normal
987,69,12,Lucas Lima,90+2,Normal
992,38,8,Nicolas Pépé,45+2,Penalty
997,38,8,Farès Bahlouli,67,Normal
1001,38,8,Nicolas Pépé,87,Normal
1002,364,12,Emiliano Sala,3,Normal
1014,364,5,Unknown,90+5,Penalty
1016,252,12,Adrien Thomasson,32,Normal
1018,252,1,Radamel Falcao,42,Normal
1019,252,1,Rony Lopes,45,Normal
1032,228,18,Damien Da Silva,5,Normal
1040,228,18,Ivan Santini,69,Normal
1044,32,2,Kylian Mbappé,5,Normal
1045,32,2,Julian Draxler,14,Normal
1046,32,2,Edinson Cavani,30,Normal
1050,32,2,Edinson Cavani,60,Normal
1057,32,2,Kylian Mbappé,84,Normal
1061,175,16,Júlio Tavares,61,Normal
1063,175,14,Pierre Lees-Melou,64,Normal
1064,175,14,Alassane Pléa,67,Normal
1069,175,16,Júlio Tavares,78,Penalty
1072,175,16,Kwon Chang-hoon,84,Normal
1074,189,3,Bertrand Traoré,21,Normal
1077,189,3,Bertrand Traoré,44,Normal
1079,189,8,Nicolas Pépé,65,Normal
1084,189,8,Luiz Araújo,81,Normal
1088,100,3,Nabil Fekir,6,Normal
1090,100,3,Mariano,51,Normal
1100,253,17,Nicolas Benezet,23,Normal
1103,253,17,Ludovic Blas,47,Normal
1107,253,17,Yeni Ngbakoto,79,Normal
