Team_Key,Team_Name,Team_Description
1,Monaco,
2,Paris S-G,
3,Lyon,
4,Saint-Étienne,
5,Metz,
6,Montpellier,
7,Troyes,
8,Lille,
9,Angers,
10,Marseille,
11,Rennes,
12,Nantes,
13,Amiens,
14,Nice,
15,Bordeaux,
16,Dijon,
17,Guingamp,
18,Caen,
19,Strasbourg,
20,Toulouse,
21,Reims,
22,Nîmes,
23,Brest,
24,Lorient,
25,Lens,
26,Clermont Foot,
27,Auxerre,
28,Ajaccio,
29,Le Havre,
30,Manchester Utd,
31,Newcastle Utd,
32,Fulham,
33,Bournemouth,
34,Watford,
35,Huddersfield,
36,Wolves,
37,Southampton,
38,Liverpool,
39,Arsenal,
40,Brighton,
41,Leicester City,
42,Burnley,
43,Crystal Palace,
44,Tottenham,
45,Cardiff City,
46,Everton,
47,West Ham,
48,Manchester City,
49,Chelsea,
50,Norwich City,
51,Sheffield Utd,
52,Aston Villa,
53,West Brom,
54,Leeds United,
55,Brentford,
56,Nott'ham Forest,
57,Luton Town,
58,Stoke City,
59,Swansea City,
60,Leganés,
61,Valencia,
62,Celta Vigo,
63,Girona,
64,Sevilla,
65,Athletic Club,
66,Barcelona,
67,La Coruña,
68,Levante,
69,Málaga,
70,Alavés,
71,Atlético Madrid,
72,Getafe,
73,Eibar,
74,Las Palmas,
75,Espanyol,
76,Betis,
77,Real Sociedad,
78,Villarreal,
79,Real Madrid,
80,Rayo Vallecano,
81,Valladolid,
82,Huesca,
83,Mallorca,
84,Granada,
85,Osasuna,
86,Cádiz,
87,Elche,
88,Almería,
89,Bayern Munich,
90,Hertha BSC,
91,Mainz 05,
92,Wolfsburg,
93,Hoffenheim,
94,Hamburger SV,
95,Schalke 04,
96,Freiburg,
97,M'Gladbach,
98,Hannover 96,
99,Leverkusen,
100,Werder Bremen,
101,Stuttgart,
102,Eint Frankfurt,
103,Augsburg,
104,RB Leipzig,
105,Dortmund,
106,Köln,
107,Düsseldorf,
108,Nürnberg,
109,Union Berlin,
110,Paderborn 07,
111,Arminia,
112,Bochum,
113,Greuther Fürth,
114,Darmstadt 98,
115,Heidenheim,
116,Juventus,
117,Hellas Verona,
118,Atalanta,
119,Udinese,
120,Inter,
121,Bologna,
122,Sampdoria,
123,Crotone,
124,Lazio,
125,Sassuolo,
126,Cagliari,
127,Chievo,
128,Roma,
129,Fiorentina,
130,Genoa,
131,Milan,
132,Benevento,
133,SPAL,
134,Napoli,
135,Torino,
136,Empoli,
137,Parma,
138,Frosinone,
139,Brescia,
140,Lecce,
141,Spezia,
142,Venezia,
143,Salernitana,
144,Monza,
145,Cremonese,
