Match,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score
467,22,57,13,5,19,30,21,3,6,31,72,Unknown,990,1,1,0,0,11,2,1,0,588,11,14,12,0.9,0.9,0.8,18,2,349,474,73.6,44,320,16,17,10,12,43,11,4,10,20,23,0,17,28,84,Unknown,944,0,0,0,0,11,3,4,1,470,15,11,11,0.6,0.6,0.4,22,0,240,359,66.9,26,219,8,8,7,70.16666666666667,70.58333333333333,68.75,74.33333333333333,74.1875,73.57142857142857,1,0
541,16,41,11,3,17,27,41,3,12,31,84,Unknown,990,1,0,0,0,10,4,3,0,552,17,12,10,1.2,1.2,0.3,16,1,271,412,65.8,31,216,11,27,19,10,59,11,12,24,36,37,0,5,24,70,Unknown,990,2,2,0,0,18,8,3,0,745,21,11,12,1.3,1.3,1.1,27,3,458,585,78.3,50,439,14,15,10,73.8,71.85714285714286,70.33333333333333,76.71428571428571,77.91666666666667,74.875,1,2
639,4,50,13,8,24,17,9,1,6,18,73,Unknown,990,3,2,1,1,13,5,2,0,587,13,8,6,1.9,1.1,1.0,19,5,387,501,77.2,41,274,24,20,10,15,50,13,4,7,13,17,1,7,26,71,Unknown,990,0,0,0,0,4,1,0,0,600,19,12,9,0.3,0.3,0.3,7,0,400,504,79.4,15,286,13,12,10,71.5,76.0,71.85714285714286,72.6,68.23076923076923,70.33333333333333,3,0
691,12,51,7,4,20,22,17,2,3,25,61,Unknown,990,0,0,0,0,21,1,2,0,606,13,12,10,1.7,1.7,1.2,37,0,375,487,77.0,39,404,21,24,11,19,49,8,4,13,15,26,2,15,21,87,Unknown,990,1,0,1,1,4,0,1,0,588,24,13,14,0.9,0.1,0.1,9,2,351,465,75.5,26,360,13,13,10,69.625,72.92857142857143,70.33333333333333,72.2,71.76923076923077,73.0,0,1
501,18,56,14,4,25,18,8,0,4,21,87,Unknown,990,1,1,0,0,9,3,3,0,607,17,10,5,1.3,1.3,1.1,18,2,384,503,76.3,40,333,14,20,8,8,44,18,2,4,23,28,0,8,21,67,Unknown,983,3,3,0,0,12,7,1,1,510,22,13,7,3.0,3.0,2.4,22,6,284,391,72.6,30,246,16,11,4,72.4,73.28571428571429,69.27272727272727,75.6,74.8,71.7,1,3
469,4,53,13,4,16,17,17,1,8,32,86,Unknown,990,2,0,1,1,10,4,0,0,632,13,13,10,2.1,1.3,1.3,22,4,412,520,79.2,34,314,21,16,9,10,47,14,2,17,18,25,0,3,21,59,Unknown,990,1,1,0,0,15,4,0,0,571,23,12,9,1.0,1.0,0.9,27,2,350,452,77.4,32,338,21,17,11,75.6,75.85714285714286,73.42857142857143,76.5,78.71428571428571,76.33333333333333,2,1
432,2,73,12,7,26,12,12,4,9,17,46,Unknown,990,1,1,0,0,9,2,0,0,856,17,6,6,1.3,1.3,1.2,13,2,664,771,86.1,60,493,34,17,7,20,27,9,6,12,13,25,2,13,10,61,Unknown,990,0,0,0,0,11,3,0,0,408,18,19,9,0.6,0.6,0.4,18,0,205,290,70.7,26,178,11,13,7,78.6,82.16666666666667,80.72727272727273,74.0,73.38461538461539,73.0,1,0
730,3,56,7,3,4,10,27,1,8,19,49,Unknown,990,4,3,1,1,16,4,1,0,612,20,8,14,1.9,1.2,1.0,31,7,437,499,87.6,25,381,16,10,6,10,44,12,7,21,6,12,1,7,23,60,Unknown,982,2,2,0,0,9,3,2,1,468,13,9,7,0.6,0.6,0.5,16,4,295,397,74.3,30,314,18,12,6,77.83333333333333,77.77777777777777,77.0,77.5,79.26666666666667,76.14285714285714,4,2
475,18,47,15,2,19,29,28,1,3,22,87,Unknown,990,2,1,1,1,12,6,2,0,530,17,14,10,1.6,0.8,0.8,25,4,296,409,72.4,32,264,11,16,10,20,53,27,3,17,16,24,4,7,30,70,Unknown,990,1,0,1,1,7,2,2,0,567,18,9,7,1.3,0.6,0.4,10,1,333,463,71.9,33,242,10,13,8,70.8,69.64285714285714,69.3,73.8,73.28571428571429,73.4,2,1
693,10,55,12,7,17,24,30,2,10,24,68,Unknown,986,1,1,0,0,10,3,2,1,631,12,12,10,1.3,1.3,1.2,13,2,401,517,77.6,36,405,23,12,7,6,45,10,13,30,11,15,3,5,25,81,Unknown,990,0,0,0,0,15,4,0,0,531,11,28,6,1.0,1.0,0.5,27,0,303,422,71.8,47,241,15,22,16,77.0,79.0,72.85714285714286,74.6,69.0,73.9,1,0
