Match,League_Name,Season,Full_Date,Match_Week,Venue_Day,Venue_Time,Team_Name,Away_Team,Home_Score,Away_Score
7846,La Liga,2024,2024-05-26,38,Sun,2024-07-02 21:00:00 UTC,Sevilla,Barcelona,1,2
7844,La Liga,2024,2024-05-26,38,Sun,2024-07-02 15:15:00 UTC,Las Palmas,Alavés,1,1
12643,Serie A,2024,2024-05-26,38,Sun,2024-07-02 18:00:00 UTC,Atalanta,Torino,3,0
12644,Serie A,2024,2024-05-26,38,Sun,2024-07-02 18:00:00 UTC,Napoli,Lecce,0,0
12648,Serie A,2024,2024-05-26,38,Sun,2024-07-02 20:45:00 UTC,Hellas Verona,Inter,2,2
12645,Serie A,2024,2024-05-26,38,Sun,2024-07-02 20:45:00 UTC,Lazio,Sassuolo,1,1
12646,Serie A,2024,2024-05-26,38,Sun,2024-07-02 20:45:00 UTC,Empoli,Roma,2,1
12647,Serie A,2024,2024-05-26,38,Sun,2024-07-02 20:45:00 UTC,Frosinone,Udinese,0,1
7843,La Liga,2024,2024-05-26,38,Sun,2024-07-02 14:00:00 UTC,Getafe,Mallorca,1,2
7845,La Liga,2024,2024-05-26,38,Sun,2024-07-02 16:15:00 UTC,Celta Vigo,Valencia,2,2
7841,La Liga,2024,2024-05-25,38,Sat,2024-07-02 18:30:00 UTC,Rayo Vallecano,Athletic Club,0,1
7840,La Liga,2024,2024-05-25,38,Sat,2024-07-02 18:30:00 UTC,Almería,Cádiz,6,1
7842,La Liga,2024,2024-05-25,38,Sat,2024-07-02 21:00:00 UTC,Real Madrid,Betis,0,0
12641,Serie A,2024,2024-05-25,38,Sat,2024-07-02 18:00:00 UTC,Juventus,Monza,2,0
12642,Serie A,2024,2024-05-25,38,Sat,2024-07-02 20:45:00 UTC,Milan,Salernitana,3,3
7838,La Liga,2024,2024-05-25,38,Sat,2024-07-02 14:00:00 UTC,Osasuna,Villarreal,1,1
7839,La Liga,2024,2024-05-25,38,Sat,2024-07-02 16:15:00 UTC,Real Sociedad,Atlético Madrid,0,2
7837,La Liga,2024,2024-05-24,38,Fri,2024-07-02 21:00:00 UTC,Girona,Granada,7,0
12640,Serie A,2024,2024-05-24,38,Fri,2024-07-02 20:45:00 UTC,Genoa,Bologna,2,0
12639,Serie A,2024,2024-05-23,38,Thu,2024-07-02 20:45:00 UTC,Cagliari,Fiorentina,2,3
4805,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Liverpool,Wolves,2,0
4800,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Arsenal,Everton,2,1
4801,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Brighton,Manchester Utd,0,2
4806,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Burnley,Nott'ham Forest,1,2
4804,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Crystal Palace,Aston Villa,5,0
4799,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Manchester City,West Ham,3,1
4803,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Chelsea,Bournemouth,2,1
4798,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Sheffield Utd,Tottenham,0,3
4802,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Brentford,Newcastle Utd,2,4
4797,Premier League,2024,2024-05-19,38,Sun,2024-07-02 16:00:00 UTC,Luton Town,Fulham,2,4
2531,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Monaco,Nantes,4,0
2528,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Lyon,Strasbourg,2,1
2526,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Metz,Paris S-G,0,2
2532,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Lille,Nice,2,2
2524,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Toulouse,Brest,0,3
2527,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Reims,Rennes,2,1
2530,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Lorient,Clermont Foot,5,0
2529,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Lens,Montpellier,2,2
2525,Ligue 1,2024,2024-05-19,34,Sun,2024-07-02 21:00:00 UTC,Le Havre,Marseille,1,2
9991,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Wolfsburg,Mainz 05,1,3
9990,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Hoffenheim,Bayern Munich,4,2
9992,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Leverkusen,Augsburg,2,1
9987,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Werder Bremen,Bochum,4,1
9989,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Stuttgart,M'Gladbach,4,0
9994,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Eint Frankfurt,RB Leipzig,2,2
9988,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Dortmund,Darmstadt 98,4,0
9986,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Union Berlin,Freiburg,2,1
9993,Fußball-Bundesliga,2024,2024-05-18,34,Sat,2024-07-02 15:30:00 UTC,Heidenheim,Köln,4,1
