"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",NA,990,2,1,0,0,12,6,4,0,693,13,11,11,1.7,1.7,1,22,3,471,588,80.1,54,360,24,29,14
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",NA,990,2,0,1,1,9,3,2,0,532,35,17,8,1.6,0.8,0.4,19,4,293,410,71.5,23,297,18,12,9
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lille","4-2-3-1",3,2.1,"Luiz Araújo · 13&rsquor; Nicolas Pépé · 45+2&rsquor; Yves Bissouma · 77&rsquor;","0","0","Metz","4-2-3-1",1,0.8,"Nolan Roux · 49&rsquor;","2","0","https://fbref.com/en/matches/ed0f2e13/Lille-Metz-April-28-2018-Ligue-1","Lille","Home",NA,990,3,2,0,0,15,9,0,0,647,17,18,15,2.1,2.1,1.8,30,6,408,514,79.4,41,360,24,29,17
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lille","4-2-3-1",3,2.1,"Luiz Araújo · 13&rsquor; Nicolas Pépé · 45+2&rsquor; Yves Bissouma · 77&rsquor;","0","0","Metz","4-2-3-1",1,0.8,"Nolan Roux · 49&rsquor;","2","0","https://fbref.com/en/matches/ed0f2e13/Lille-Metz-April-28-2018-Ligue-1","Metz","Away",NA,990,1,1,0,0,14,4,2,0,623,27,11,7,0.8,0.8,0.7,24,2,378,511,74,38,338,15,23,12
"Ligue 1","2018-02-03","Ligue 1 (Matchweek 24)","Nice","4-3-3",0,0.9,"","2","0","Toulouse","4-3-3",1,0.3,"Max Gradel · 67&rsquor;","2","0","https://fbref.com/en/matches/de5b03fe/Nice-Toulouse-February-3-2018-Ligue-1","Nice","Home",NA,990,0,0,0,0,14,2,2,0,920,12,11,4,0.9,0.9,0.5,27,0,730,826,88.4,69,527,41,40,18
"Ligue 1","2018-02-03","Ligue 1 (Matchweek 24)","Nice","4-3-3",0,0.9,"","2","0","Toulouse","4-3-3",1,0.3,"Max Gradel · 67&rsquor;","2","0","https://fbref.com/en/matches/de5b03fe/Nice-Toulouse-February-3-2018-Ligue-1","Toulouse","Away",NA,990,1,1,0,0,6,1,2,0,413,31,9,12,0.3,0.3,0.2,10,2,204,279,73.1,26,246,17,21,13
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Guingamp","4-2-3-1",2,2.4,"Nicolas Benezet · 70&rsquor; Jimmy Briand · 90+5&rsquor;","3","0","Saint-Étienne","4-3-3",1,0.4,"Alexander Søderlund · 24&rsquor; Hernani · 67&rsquor;","2","1","https://fbref.com/en/matches/43ebed63/Guingamp-Saint-Etienne-December-20-2017-Ligue-1","Guingamp","Home",NA,990,2,0,0,0,28,7,3,0,774,9,8,3,2.4,2.4,1.3,47,2,605,697,86.8,76,451,29,15,9
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Guingamp","4-2-3-1",2,2.4,"Nicolas Benezet · 70&rsquor; Jimmy Briand · 90+5&rsquor;","3","0","Saint-Étienne","4-3-3",1,0.4,"Alexander Søderlund · 24&rsquor; Hernani · 67&rsquor;","2","1","https://fbref.com/en/matches/43ebed63/Guingamp-Saint-Etienne-December-20-2017-Ligue-1","Saint-Étienne","Away",NA,923,1,1,0,0,3,3,2,1,278,15,12,5,0.4,0.4,0.3,4,2,90,179,50.3,11,73,5,7,3
"Ligue 1","2017-08-12","Ligue 1 (Matchweek 2)","Caen","4-3-3",0,0.9,"","1","0","Saint-Étienne","4-3-3",1,1.1,"Romain Hamouma · 67&rsquor;","1","0","https://fbref.com/en/matches/1aef5397/Caen-Saint-Etienne-August-12-2017-Ligue-1","Caen","Home",NA,990,0,0,0,0,11,4,1,0,507,25,7,9,0.9,0.9,0.8,22,0,288,402,71.6,43,171,10,9,4
"Ligue 1","2017-08-12","Ligue 1 (Matchweek 2)","Caen","4-3-3",0,0.9,"","1","0","Saint-Étienne","4-3-3",1,1.1,"Romain Hamouma · 67&rsquor;","1","0","https://fbref.com/en/matches/1aef5397/Caen-Saint-Etienne-August-12-2017-Ligue-1","Saint-Étienne","Away",NA,990,1,1,0,0,6,4,1,0,569,27,8,13,1.1,1.1,0.5,9,2,340,454,74.9,32,260,16,16,10
