"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Ligue 1","M","FRA",2018,"Regular season","1","Fri",2017-08-04,"20:45","Monaco",3,2,"Toulouse",2,0.3,13572,"Stade Louis II.","Clément Turpin","","https://fbref.com/en/matches/a68e623d/Monaco-Toulouse-August-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"17:15","Paris S-G",2,2.6,"Amiens",0,0.3,46898,"Parc des Princes","Mikael Lesage","","https://fbref.com/en/matches/37f2c25f/Paris-Saint-Germain-Amiens-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"20:00","Lyon",4,1.8,"Strasbourg",0,0.5,1979,"Groupama Stadium","Ruddy Buquet","","https://fbref.com/en/matches/4d28b63b/Lyon-Strasbourg-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"20:00","Saint-Étienne",1,0.9,"Nice",0,0.5,25879,"Stade Geoffroy-Guichard","François Letexier","","https://fbref.com/en/matches/68b9eea2/Saint-Etienne-Nice-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"20:00","Metz",1,0.6,"Guingamp",3,1.9,14595,"Stade Saint-Symphorien","Jérôme Miguelgorry","","https://fbref.com/en/matches/7d2eb66d/Metz-Guingamp-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"20:00","Montpellier",1,1.4,"Caen",0,0.4,14725,"Stade de la Mosson","Thomas Léonard","","https://fbref.com/en/matches/b2829d08/Montpellier-Caen-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sat",2017-08-05,"20:00","Troyes",1,1.9,"Rennes",1,2.2,9968,"Stade de l'Aube","Karim Abed","","https://fbref.com/en/matches/bf730e30/Troyes-Rennes-August-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sun",2017-08-06,"15:00","Lille",3,1.9,"Nantes",0,1.3,30683,"Stade Pierre-Mauroy","Benoît Millot","","https://fbref.com/en/matches/a5686dbd/Lille-Nantes-August-6-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sun",2017-08-06,"17:00","Angers",2,1.2,"Bordeaux",2,1.7,11767,"Stade Raymond Kopa","Sébastien Desiage","","https://fbref.com/en/matches/f85b1b75/Angers-Bordeaux-August-6-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","1","Sun",2017-08-06,"21:00","Marseille",3,2.1,"Dijon",0,0.6,50904,"Orange Vélodrome","Benoît Bastien","","https://fbref.com/en/matches/ab13ffd4/Marseille-Dijon-August-6-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Fri",2017-10-20,"20:45","Saint-Étienne",0,1.5,"Montpellier",1,1.8,24004,"Stade Geoffroy-Guichard","Franck Schneider","","https://fbref.com/en/matches/660156f2/Saint-Etienne-Montpellier-October-20-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Sat",2017-10-21,"17:00","Monaco",2,2.3,"Caen",0,0.5,8040,"Stade Louis II.","Thomas Léonard","","https://fbref.com/en/matches/978a06de/Monaco-Caen-October-21-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Sat",2017-10-21,"20:00","Rennes",1,0.7,"Lille",0,0.7,21852,"Roazhon Park","Olivier Thual","","https://fbref.com/en/matches/070721a9/Rennes-Lille-October-21-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Sat",2017-10-21,"20:00","Metz",1,1,"Dijon",2,0.5,14748,"Stade Saint-Symphorien","Mikael Lesage","","https://fbref.com/en/matches/67a88926/Metz-Dijon-October-21-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Sat",2017-10-21,"20:00","Nantes",2,0.7,"Guingamp",1,0.9,27711,"Stade de la Beaujoire - Louis Fonteneau","Amaury Delerue","","https://fbref.com/en/matches/a6cd0792/Nantes-Guingamp-October-21-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","10","Sat",2017-10-21,"20:00","Angers",0,1.5,"Toulouse",1,0.2,11001,"Stade Raymond Kopa","Johan Hamel","","https://fbref.com/en/matches/b65ed449/Angers-Toulouse-October-21-2017-Ligue-1"
