"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",59,471,588,80,14,7,33,693,13,11,20,11,2,4,29,72,"4","0","Strasbourg","4-1-2-1-2",41,293,410,71,10,4,14,532,35,17,18,40,1,7,15,77,"2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1"
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lille","4-2-3-1",50,408,514,79,11,3,12,647,17,18,15,28,3,11,14,79,"0","0","Metz","4-2-3-1",50,378,511,74,12,5,14,623,27,11,21,19,1,8,27,80,"2","0","https://fbref.com/en/matches/ed0f2e13/Lille-Metz-April-28-2018-Ligue-1"
"Ligue 1","2018-02-03","Ligue 1 (Matchweek 24)","Nice","4-3-3",75,730,826,88,14,11,34,920,12,11,11,13,3,7,22,52,"2","0","Toulouse","4-3-3",25,204,279,73,14,1,9,413,31,9,16,40,2,10,12,69,"2","0","https://fbref.com/en/matches/de5b03fe/Nice-Toulouse-February-3-2018-Ligue-1"
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Guingamp","4-2-3-1",80,605,697,87,13,10,47,774,9,8,17,5,1,3,24,67,"3","0","Saint-Étienne","4-3-3",20,90,179,50,13,0,3,278,15,12,14,40,1,18,12,70,"2","1","https://fbref.com/en/matches/43ebed63/Guingamp-Saint-Etienne-December-20-2017-Ligue-1"
"Ligue 1","2017-08-12","Ligue 1 (Matchweek 2)","Caen","4-3-3",47,288,402,72,12,8,32,507,25,7,16,19,3,6,38,89,"1","0","Saint-Étienne","4-3-3",53,340,454,75,15,2,12,569,27,8,19,34,2,8,30,77,"1","0","https://fbref.com/en/matches/1aef5397/Caen-Saint-Etienne-August-12-2017-Ligue-1"
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Nantes","4-2-3-1",58,534,661,81,6,5,23,775,18,6,31,25,6,9,24,81,"0","0","Troyes","4-4-1-1",42,358,488,73,6,3,20,596,20,7,22,28,2,12,30,93,"1","0","https://fbref.com/en/matches/b0fe022e/Nantes-Troyes-March-10-2018-Ligue-1"
"Ligue 1","2017-11-18","Ligue 1 (Matchweek 13)","Strasbourg","4-1-2-1-2",51,341,453,75,18,6,21,568,20,10,20,27,4,9,17,87,"1","0","Rennes","4-2-3-1",49,330,444,74,8,7,26,563,16,12,19,31,1,3,29,80,"0","1","https://fbref.com/en/matches/9e795c28/Strasbourg-Rennes-November-18-2017-Ligue-1"
"Ligue 1","2017-12-08","Ligue 1 (Matchweek 17)","Bordeaux","4-2-3-1",62,424,535,79,14,10,35,638,21,9,13,15,1,5,31,52,"3","0","Strasbourg","4-2-3-1",38,222,325,68,10,5,9,451,23,20,19,38,1,12,21,79,"1","0","https://fbref.com/en/matches/b49a984a/Bordeaux-Strasbourg-December-8-2017-Ligue-1"
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lyon","4-1-2-1-2",60,551,644,86,7,6,16,777,16,14,16,20,1,11,30,57,"1","0","Nantes","4-2-3-1",40,310,421,74,14,4,24,529,22,9,9,22,0,11,26,71,"1","0","https://fbref.com/en/matches/2a72f30f/Lyon-Nantes-April-28-2018-Ligue-1"
"Ligue 1","2017-09-23","Ligue 1 (Matchweek 7)","Bordeaux","4-3-3",56,432,532,81,14,5,26,619,14,8,13,11,3,9,20,75,"4","0","Guingamp","4-4-2",44,323,419,77,14,2,9,502,8,10,21,22,0,12,19,79,"2","0","https://fbref.com/en/matches/a4ab682b/Bordeaux-Guingamp-September-23-2017-Ligue-1"
"Ligue 1","2017-12-09","Ligue 1 (Matchweek 17)","Toulouse","4-4-2",50,270,416,65,15,4,20,535,19,15,33,34,2,12,33,93,"1","0","Caen","4-4-2",50,268,408,66,10,5,26,538,19,10,36,38,5,6,21,92,"2","0","https://fbref.com/en/matches/11ba51d6/Toulouse-Caen-December-9-2017-Ligue-1"
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Paris Saint-Germain","4-3-3",58,539,612,88,10,9,12,688,6,6,12,13,6,7,17,42,"0","0","Metz","4-2-3-1",42,368,450,82,10,2,10,527,13,11,6,16,1,12,19,77,"1","0","https://fbref.com/en/matches/7ce5cd03/Paris-Saint-Germain-Metz-March-10-2018-Ligue-1"
"Ligue 1","2017-08-13","Ligue 1 (Matchweek 2)","Strasbourg","4-2-3-1",47,265,373,71,8,7,21,479,25,12,16,15,1,10,26,92,"1","0","Lille","5-4-1",53,329,425,77,13,5,18,536,18,18,12,26,3,11,15,57,"2","1","https://fbref.com/en/matches/94889482/Strasbourg-Lille-August-13-2017-Ligue-1"
"Ligue 1","2018-04-08","Ligue 1 (Matchweek 32)","Metz","3-4-3",44,376,480,78,18,4,24,563,17,10,10,14,0,7,17,72,"2","0","Lyon","4-1-2-1-2",56,530,617,86,7,3,11,727,14,10,24,28,0,6,11,56,"0","0","https://fbref.com/en/matches/cd56d714/Metz-Lyon-April-8-2018-Ligue-1"
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Monaco","4-2-3-1",60,405,526,77,21,8,36,619,8,7,19,20,0,7,31,94,"3","0","Rennes","4-1-4-1",40,246,357,69,19,1,10,466,15,9,8,37,2,9,27,87,"2","0","https://fbref.com/en/matches/1d159233/Monaco-Rennes-December-20-2017-Ligue-1"
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Strasbourg","5-3-2",38,189,291,65,25,2,19,376,25,10,15,9,0,12,21,75,"5","0","Lyon","4-1-2-1-2",62,387,471,82,20,1,8,567,14,7,22,18,1,6,23,52,"1","0","https://fbref.com/en/matches/1d65553a/Strasbourg-Lyon-May-12-2018-Ligue-1"
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Montpellier","3-4-1-2",61,509,635,80,10,11,48,764,23,22,20,15,2,4,23,85,"0","0","Troyes","4-2-3-1",39,301,409,74,9,1,12,558,22,17,19,43,0,18,31,68,"0","0","https://fbref.com/en/matches/573233b5/Montpellier-Troyes-May-12-2018-Ligue-1"
"Ligue 1","2017-11-29","Ligue 1 (Matchweek 15)","Toulouse","4-4-2",36,288,379,76,16,6,17,449,14,3,17,12,2,3,18,55,"3","1","Nice","4-2-3-1",64,610,686,89,12,4,15,780,13,11,8,22,6,5,25,73,"5","1","https://fbref.com/en/matches/2d93bc29/Toulouse-Nice-November-29-2017-Ligue-1"
"Ligue 1","2018-01-13","Ligue 1 (Matchweek 20)","Troyes","4-2-3-1",60,455,582,78,15,2,15,689,18,9,22,25,0,4,34,86,"4","0","Bordeaux","4-3-3",40,268,383,70,13,2,13,506,17,17,22,33,4,12,33,71,"0","0","https://fbref.com/en/matches/3f6dfa69/Troyes-Bordeaux-January-13-2018-Ligue-1"
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Rennes","4-2-3-1",56,469,573,82,16,8,29,669,19,9,14,11,3,11,22,93,"0","0","Saint-Étienne","4-2-3-1",44,372,459,81,14,4,11,585,14,15,18,43,1,6,10,57,"4","0","https://fbref.com/en/matches/73922b9e/Rennes-Saint-Etienne-March-10-2018-Ligue-1"
"Ligue 1","2017-12-03","Ligue 1 (Matchweek 16)","Montpellier","5-3-2",32,212,307,69,9,1,15,397,16,12,11,23,6,7,17,73,"4","0","Marseille","4-2-3-1",68,563,651,86,23,3,16,750,11,8,12,19,1,3,21,67,"2","0","https://fbref.com/en/matches/e86d3f68/Montpellier-Marseille-December-3-2017-Ligue-1"
