"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",5,FALSE,1,"Goal","Denis Zakaria","1:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",10,FALSE,1,"Yellow Card","Denis Zakaria","1:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",27,FALSE,1,"Yellow Card","Maximilian Eggestein","1:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",33,FALSE,1,"Own Goal","Niklas Moisander Own Goal","2:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",46,FALSE,2,"Substitute","Mickaël Cuisance for Denis Zakaria","2:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",46,FALSE,2,"Substitute","Aron Jóhannsson for Robert Bauer","2:0",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",59,FALSE,2,"Goal","Thomas Delaney Assist: Max Kruse","2:1",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",61,FALSE,2,"Yellow Card","Niklas Moisander","2:1",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",72,FALSE,2,"Substitute","Tony Jantschke for Christoph Kramer","2:1",NA
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",76,FALSE,2,"Substitute","Jérôme Gondorf for Marco Friedl","2:1",NA
