"Matchday","Team","Home_Away","Formation","Player_Num","Player_Name","Starting","PlayerURL","Nation","Pos","Age","Min","Gls","Ast","CrdY","CrdR","MatchURL"
2023-08-12,"Sheffield United","Home","3-4-3","18","Wes Foderingham","Pitch","https://fbref.com/en/players/96cf7b61/Wes-Foderingham","ENG","GK","32-210",90,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","2","George Baldock","Pitch","https://fbref.com/en/players/394854c4/George-Baldock","GRE","RM,RB","30-156",90,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","3","Max Lowe","Pitch","https://fbref.com/en/players/7af88b33/Max-Lowe","ENG","LM","26-093",79,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","6","Chris Basham","Pitch","https://fbref.com/en/players/1aa84968/Chris-Basham","ENG","CM","35-023",79,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","11","Bénie Adama Traore","Pitch","https://fbref.com/en/players/77816c91/Benie-Adama-Traore","CIV","RW","20-255",86,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","12","John Egan","Pitch","https://fbref.com/en/players/debe38a0/John-Egan","IRL","CB","30-296",90,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","15","Anel Ahmedhodžić","Pitch","https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic","BIH","CB","24-139",90,0,0,1,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","16","Oliver Norwood","Pitch","https://fbref.com/en/players/43439614/Oliver-Norwood","NIR","CM,LM","32-122",90,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","19","Jack Robinson","Pitch","https://fbref.com/en/players/7399c7a8/Jack-Robinson","ENG","CB","29-345",79,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
2023-08-12,"Sheffield United","Home","3-4-3","23","Ben Osborn","Pitch","https://fbref.com/en/players/79bc4c45/Ben-Osborn","ENG","LW","29-007",86,0,0,0,0,"https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League"
