"Matchday","Team","Home_Away","Formation","Player_Num","Player_Name","Starting","PlayerURL","Nation","Pos","Age","Min","Gls","Ast","CrdY","CrdR","MatchURL"
2023-11-25,"Getafe","Home","4-4-2","13","David Soria","Pitch","https://fbref.com/en/players/8f8c6934/David-Soria","ESP","GK","30-235",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","4","Gastón Álvarez","Pitch","https://fbref.com/en/players/852ddfb8/Gaston-Alvarez","URU","CB","23-246",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","5","Luis Milla","Pitch","https://fbref.com/en/players/19c36442/Luis-Milla","ESP","CM","29-049",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","12","Mason Greenwood","Pitch","https://fbref.com/en/players/58eee997/Mason-Greenwood","ENG","LM,RM","22-055",88,1,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","14","Juanmi Latasa","Pitch","https://fbref.com/en/players/2bea832e/Juanmi-Latasa","ESP","FW","22-247",71,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","15","Omar Alderete","Pitch","https://fbref.com/en/players/bb08bce9/Omar-Alderete","PAR","CB","26-334",45,0,1,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","16","Diego Rico","Pitch","https://fbref.com/en/players/d9ba39fc/Diego-Rico","ESP","LB","30-275",90,0,0,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","18","Carmona","Pitch","https://fbref.com/en/players/2dce876a/Carmona","ESP","RM","21-300",29,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","19","Borja Mayoral","Pitch","https://fbref.com/en/players/64e8ed6d/Borja-Mayoral","ESP","FW","26-234",88,1,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","20","Nemanja Maksimović","Pitch","https://fbref.com/en/players/00b28772/Nemanja-Maksimovic","SRB","CM","28-303",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","22","Damián Suárez","Pitch","https://fbref.com/en/players/ba5004e1/Damian-Suarez","URU","RB","35-212",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","1","Daniel Fuzato","Bench","https://fbref.com/en/players/82328faf/Daniel-Fuzato",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","2","Djené","Bench","https://fbref.com/en/players/a4971d84/Djene","TOG","CB","31-329",45,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","3","Fabrizio Angileri","Bench","https://fbref.com/en/players/fdd26d71/Fabrizio-Angileri","ARG","RM","29-255",2,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","6","Domingos Duarte","Bench","https://fbref.com/en/players/93090f69/Domingos-Duarte",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","7","Jaime Mata","Bench","https://fbref.com/en/players/02319ad7/Jaime-Mata","ESP","FW","35-032",2,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","9","Óscar Rodríguez Arnaiz","Bench","https://fbref.com/en/players/19709006/Oscar-Rodriguez-Arnaiz","ESP","LM,RM","25-150",61,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","11","Carles Aleñá","Bench","https://fbref.com/en/players/6c811eb7/Carles-Alena","ESP","FW","25-324",19,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","17","Anthony Lozano","Bench","https://fbref.com/en/players/38699c72/Anthony-Lozano",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","21","Iglesias","Bench","https://fbref.com/en/players/974322dc/Iglesias",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","23","Stefan Mitrović","Bench","https://fbref.com/en/players/e6777e6b/Stefan-Mitrovic",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Getafe","Home","4-4-2","32","Jordi","Bench","https://fbref.com/en/players/5556d20b/Jordi",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","25","Luís Maximiano","Pitch","https://fbref.com/en/players/3318286e/Luis-Maximiano","POR","GK","24-324",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","3","Édgar González","Pitch","https://fbref.com/en/players/49d028db/Edgar-Gonzalez","ESP","CB","26-238",90,0,0,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","4","Iddrisu Baba","Pitch","https://fbref.com/en/players/bfd381b3/Iddrisu-Baba","GHA","DM","27-307",90,0,0,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","5","Lucas Robertone","Pitch","https://fbref.com/en/players/a8981944/Lucas-Robertone","ARG","DM","26-252",74,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","7","Largie Ramazani","Pitch","https://fbref.com/en/players/cc9256ef/Largie-Ramazani","BEL","FW","22-271",82,1,0,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","10","Adri Embarba","Pitch","https://fbref.com/en/players/db8f0eba/Adri-Embarba","ESP","LW","31-202",66,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","12","Léo Baptistão","Pitch","https://fbref.com/en/players/35f6db55/Leo-Baptistao","BRA","RW,FW","31-091",90,0,0,1,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","15","Sergio Akieme","Pitch","https://fbref.com/en/players/06efa9dc/Sergio-Akieme","ESP","LB","25-344",90,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","19","Sergio Arribas","Pitch","https://fbref.com/en/players/1e465e70/Sergio-Arribas","ESP","AM","22-056",83,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","21","Juan Brandáriz","Pitch","https://fbref.com/en/players/2475cf9b/Juan-Brandariz","ESP","CB","24-268",90,0,1,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","24","Houboulang Mendes","Pitch","https://fbref.com/en/players/1545cf15/Houboulang-Mendes","GNB","RB","25-205",67,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","1","Diego Mariño","Bench","https://fbref.com/en/players/d9235a45/Diego-Marino",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","13","Fernando","Bench","https://fbref.com/en/players/dabb2827/Fernando",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","2","Kaiky","Bench","https://fbref.com/en/players/55634fb8/Kaiky",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","8","Arnau Puigmal","Bench","https://fbref.com/en/players/39352da2/Arnau-Puigmal","ESP","AM","22-319",7,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","11","Gonzalo Melero","Bench","https://fbref.com/en/players/3902e91b/Gonzalo-Melero","ESP","DM","29-327",16,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","14","Lázaro","Bench","https://fbref.com/en/players/86ff856b/Lazaro","BRA","LW","21-258",24,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","17","Alejandro Pozo Pozo","Bench","https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo","ESP","RB","24-276",23,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","20","Álex Centelles","Bench","https://fbref.com/en/players/ae852b7d/Alex-Centelles",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","22","César Montes","Bench","https://fbref.com/en/players/28e957d7/Cesar-Montes",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","28","Rachad Fettal","Bench","https://fbref.com/en/players/ae9a9b2d/Rachad-Fettal",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2023-11-25,"Almería","Away","4-2-3-1","34","Marciano Sanca","Bench","https://fbref.com/en/players/39a938cb/Marciano-Sanca","GNB","RW","19-267",8,0,0,0,0,"https://fbref.com/en/matches/db6cf568/Getafe-Almeria-November-25-2023-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","13","Filip Jørgensen","Pitch","https://fbref.com/en/players/0107757e/Filip-Jorgensen","DEN","GK","21-279",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","4","Santi Comesaña","Pitch","https://fbref.com/en/players/5ae499d0/Santi-Comesana","ESP","CM","27-107",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","5","Jorge Cuenca","Pitch","https://fbref.com/en/players/0abc51f2/Jorge-Cuenca","ESP","CB","24-064",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","7","Gerard Moreno","Pitch","https://fbref.com/en/players/81f0781e/Gerard-Moreno","ESP","FW","31-288",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","11","Alexander Sørloth","Pitch","https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth","NOR","FW","28-046",90,1,0,1,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","12","Eric Bailly","Pitch","https://fbref.com/en/players/a1232f4e/Eric-Bailly","CIV","CB","29-283",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","16","Alex Baena","Pitch","https://fbref.com/en/players/518f2234/Alex-Baena","ESP","LM,RM","22-184",83,0,1,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","17","Kiko Femenía","Pitch","https://fbref.com/en/players/e5d01ecf/Kiko-Femenia","ESP","RB","32-352",90,0,0,1,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","18","Alberto Moreno","Pitch","https://fbref.com/en/players/11b9265b/Alberto-Moreno","ESP","LB","31-199",90,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","19","Francis Coquelin","Pitch","https://fbref.com/en/players/a6951bf8/Francis-Coquelin","FRA","CM","32-252",83,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","27","Ilias Akhomach","Pitch","https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach","MAR","RM","19-279",69,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","1","Pepe Reina","Bench","https://fbref.com/en/players/e358587b/Pepe-Reina",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","31","Iker Álvarez","Bench","https://fbref.com/en/players/13619663/Iker-Alvarez",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
2024-01-20,"Villarreal","Home","4-4-2","6","Étienne Capoue","Bench","https://fbref.com/en/players/5acc4a10/Etienne-Capoue","FRA","CM","35-193",7,0,0,0,0,"https://fbref.com/en/matches/bf30b05f/Villarreal-Mallorca-January-20-2024-La-Liga"
