"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",10,FALSE,1,"Yellow Card","Assane Dioussé","0:0",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",32,FALSE,1,"Yellow Card","Jérémy Grimm","0:0",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",41,FALSE,1,"Goal","Hernani Assist: Kévin Monnet-Paquet","1:0",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",43,FALSE,1,"Yellow Card","Hernani","1:0",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",44,FALSE,1,"Goal","Jean-Eudes Aholou","1:1",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",56,FALSE,2,"Goal","Kévin Monnet-Paquet","2:1",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",62,FALSE,2,"Yellow Card","Florentin Pogba","2:1",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",63,FALSE,2,"Penalty","Jonas Martin Penalty Kick","2:2",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",64,FALSE,2,"Substitute","Stéphane Bahoken for Jérémy Grimm","2:2",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Strasbourg","Away",65,FALSE,2,"Yellow Card","Stéphane Bahoken","2:2",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",72,FALSE,2,"Substitute","Lois Diony for Alexander Søderlund","2:2",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",80,FALSE,2,"Substitute","Saidy Janko for Ronaël Pierre-Gabriel","2:2",NA
"Ligue 1","2017-11-24","Ligue 1 (Matchweek 14)","Saint-Étienne","4-2-3-1",2,1.7,"Hernani · 41&rsquor; Kévin Monnet-Paquet · 56&rsquor;","4","0","Strasbourg","4-1-2-1-2",2,1.6,"Jean-Eudes Aholou · 44&rsquor; Jonas Martin (P) · 63&rsquor;","2","0","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1","Saint-Étienne","Home",82,FALSE,2,"Yellow Card","Vincent Pajot","2:2",NA
