"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Fri",2017-08-18,"20:30","Bayern Munich",3,2.6,"Leverkusen",1,1.6,75000,"Allianz Arena","Tobias Stieler","","https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"15:30","Hertha BSC",2,0.5,"Stuttgart",0,1,44751,"Olympiastadion Berlin","Sascha Stegemann","","https://fbref.com/en/matches/0339770e/Hertha-BSC-Stuttgart-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"15:30","Mainz 05",0,0.7,"Hannover 96",1,0.7,28279,"Opel Arena","Felix Brych","","https://fbref.com/en/matches/09cec3e9/Mainz-05-Hannover-96-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"15:30","Wolfsburg",0,0.4,"Dortmund",3,1,30000,"Volkswagen Arena","Robert Hartmann","","https://fbref.com/en/matches/10673af1/Wolfsburg-Dortmund-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"15:30","Hoffenheim",1,1,"Werder Bremen",0,0.9,30150,"Dietmar-Hopp-Stadion","Guido Winkmann","","https://fbref.com/en/matches/7fa19f7c/Hoffenheim-Werder-Bremen-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"15:30","Hamburger SV",1,0.5,"Augsburg",0,0.8,49449,"Volksparkstadion","Daniel Siebert","","https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sat",2017-08-19,"18:30","Schalke 04",2,1.8,"RB Leipzig",0,1,61435,"Veltins-Arena","Felix Zwayer","","https://fbref.com/en/matches/c516f9b3/Schalke-04-RB-Leipzig-August-19-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sun",2017-08-20,"15:30","Freiburg",0,0.4,"Eint Frankfurt",0,1.3,24000,"Schwarzwald-Stadion","Manuel Gräfe","","https://fbref.com/en/matches/a3858878/Freiburg-Eintracht-Frankfurt-August-20-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","1","Sun",2017-08-20,"18:00","M'Gladbach",1,1.5,"Köln",0,1.1,54018,"Stadion im Borussia-Park","Deniz Aytekin","","https://fbref.com/en/matches/4fbf64fe/Monchengladbach-Koln-August-20-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Fri",2017-10-27,"20:30","Mainz 05",1,0.4,"Eint Frankfurt",1,0.4,33794,"Opel Arena","Sascha Stegemann","","https://fbref.com/en/matches/e1a4ddc7/Mainz-05-Eintracht-Frankfurt-October-27-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"15:30","Hertha BSC",2,1,"Hamburger SV",1,0.9,52131,"Olympiastadion Berlin","Felix Brych","","https://fbref.com/en/matches/1b5be8e3/Hertha-BSC-Hamburger-SV-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"15:30","Schalke 04",1,1.6,"Wolfsburg",1,1.1,60429,"Veltins-Arena","Markus Schmidt","","https://fbref.com/en/matches/453d02a5/Schalke-04-Wolfsburg-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"15:30","Hoffenheim",1,1.1,"M'Gladbach",3,1.7,30150,"Dietmar-Hopp-Stadion","Harm Osmers","","https://fbref.com/en/matches/457ab971/Hoffenheim-Monchengladbach-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"15:30","Hannover 96",4,2.2,"Dortmund",2,1,49000,"HDI-Arena","Patrick Ittrich","","https://fbref.com/en/matches/82b4ab22/Hannover-96-Dortmund-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"15:30","Leverkusen",2,1.7,"Köln",1,0.9,30210,"BayArena","Manuel Gräfe","","https://fbref.com/en/matches/af53eee8/Bayer-Leverkusen-Koln-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sat",2017-10-28,"18:30","Bayern Munich",2,2.2,"RB Leipzig",0,0.3,75000,"Allianz Arena","Daniel Siebert","","https://fbref.com/en/matches/c5ad9910/Bayern-Munich-RB-Leipzig-October-28-2017-Bundesliga"
"Fußball-Bundesliga","M","GER",2018,"Regular season","10","Sun",2017-10-29,"15:30","Werder Bremen",0,0.7,"Augsburg",3,2.9,40500,"Weserstadion","Sören Storks","","https://fbref.com/en/matches/553962af/Werder-Bremen-Augsburg-October-29-2017-Bundesliga"
