"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2019-10-19","Fußball-Bundesliga (Matchweek 8)","Dortmund","4-4-2",1,1.5,"Marco Reus · 58&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,2.6,"","2","0","https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga","Dortmund","Home",NA,990,1,1,0,0,16,7,1,0,665,24,18,16,1.5,1.5,1.4,28,2,414,527,78.6,43,342,20,19,11
"Fußball-Bundesliga","2019-10-19","Fußball-Bundesliga (Matchweek 8)","Dortmund","4-4-2",1,1.5,"Marco Reus · 58&rsquor;","1","0","Mönchengladbach","4-2-3-1",0,2.6,"","2","0","https://fbref.com/en/matches/bcee4260/Dortmund-Monchengladbach-October-19-2019-Bundesliga","Mönchengladbach","Away",NA,990,0,0,0,0,14,2,2,0,573,20,11,19,2.6,2.6,1.7,21,0,338,451,74.9,41,300,13,15,5
"Fußball-Bundesliga","2019-10-05","Fußball-Bundesliga (Matchweek 7)","Freiburg","3-4-3",2,0.3,"Luca Waldschmidt · 55&rsquor; Manuel Akanji (OG) · 90&rsquor;","0","0","Dortmund","4-2-3-1",2,0.8,"Axel Witsel · 20&rsquor; Achraf Hakimi · 67&rsquor;","3","0","https://fbref.com/en/matches/e3cde2ed/Freiburg-Dortmund-October-5-2019-Bundesliga","Freiburg","Home",NA,990,1,1,0,0,6,1,0,0,532,14,9,15,0.3,0.3,0.3,12,2,321,432,74.3,30,319,18,12,9
"Fußball-Bundesliga","2019-10-05","Fußball-Bundesliga (Matchweek 7)","Freiburg","3-4-3",2,0.3,"Luca Waldschmidt · 55&rsquor; Manuel Akanji (OG) · 90&rsquor;","0","0","Dortmund","4-2-3-1",2,0.8,"Axel Witsel · 20&rsquor; Achraf Hakimi · 67&rsquor;","3","0","https://fbref.com/en/matches/e3cde2ed/Freiburg-Dortmund-October-5-2019-Bundesliga","Dortmund","Away",NA,990,2,2,0,0,8,4,3,0,901,13,6,11,0.8,0.8,0.8,15,3,691,818,84.5,51,597,26,25,15
"Fußball-Bundesliga","2019-08-17","Fußball-Bundesliga (Matchweek 1)","Mönchengladbach","4-1-2-1-2",0,1.5,"","3","0","Schalke 04","4-2-3-1",0,0.8,"","2","0","https://fbref.com/en/matches/e0231248/Monchengladbach-Schalke-04-August-17-2019-Bundesliga","Mönchengladbach","Home",NA,990,0,0,0,0,16,4,3,0,688,20,14,14,1.5,1.5,1.2,24,0,450,574,78.4,34,478,24,27,15
"Fußball-Bundesliga","2019-08-17","Fußball-Bundesliga (Matchweek 1)","Mönchengladbach","4-1-2-1-2",0,1.5,"","3","0","Schalke 04","4-2-3-1",0,0.8,"","2","0","https://fbref.com/en/matches/e0231248/Monchengladbach-Schalke-04-August-17-2019-Bundesliga","Schalke 04","Away",NA,990,0,0,0,0,8,1,2,0,512,23,21,15,0.8,0.8,0.7,13,0,275,390,70.5,40,276,8,15,7
"Fußball-Bundesliga","2019-10-19","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-4-3",2,1.5,"Marius Bülter · 1&rsquor; Marcus Ingvartsen · 84&rsquor;","3","0","Freiburg","3-4-3",0,0.7,"","0","0","https://fbref.com/en/matches/e2be08a5/Union-Berlin-Freiburg-October-19-2019-Bundesliga","Union Berlin","Home",NA,990,2,2,0,0,16,5,3,0,501,8,19,16,1.5,1.5,1.4,26,4,289,399,72.4,27,309,19,15,13
"Fußball-Bundesliga","2019-10-19","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-4-3",2,1.5,"Marius Bülter · 1&rsquor; Marcus Ingvartsen · 84&rsquor;","3","0","Freiburg","3-4-3",0,0.7,"","0","0","https://fbref.com/en/matches/e2be08a5/Union-Berlin-Freiburg-October-19-2019-Bundesliga","Freiburg","Away",NA,990,0,0,0,0,12,4,0,0,694,14,7,10,0.7,0.7,0.7,24,0,472,601,78.5,36,359,11,7,4
"Fußball-Bundesliga","2019-09-22","Fußball-Bundesliga (Matchweek 5)","Eintracht Frankfurt","3-1-4-2",2,1.3,"André Silva · 43&rsquor; Thomas Delaney (OG) · 88&rsquor;","2","0","Dortmund","4-2-3-1",2,1.9,"Axel Witsel · 11&rsquor; Jadon Sancho · 66&rsquor;","2","0","https://fbref.com/en/matches/af30fff5/Eintracht-Frankfurt-Dortmund-September-22-2019-Bundesliga","Eintracht Frankfurt","Home",NA,990,1,1,0,0,18,3,2,0,534,21,12,12,1.3,1.3,1.1,34,2,289,404,71.5,33,229,17,18,11
"Fußball-Bundesliga","2019-09-22","Fußball-Bundesliga (Matchweek 5)","Eintracht Frankfurt","3-1-4-2",2,1.3,"André Silva · 43&rsquor; Thomas Delaney (OG) · 88&rsquor;","2","0","Dortmund","4-2-3-1",2,1.9,"Axel Witsel · 11&rsquor; Jadon Sancho · 66&rsquor;","2","0","https://fbref.com/en/matches/af30fff5/Eintracht-Frankfurt-Dortmund-September-22-2019-Bundesliga","Dortmund","Away",NA,990,2,2,0,0,16,7,2,0,784,20,7,18,2,2,1.8,29,3,543,656,82.8,47,435,16,28,16
