"Matchday","Team","Home_Away","Formation","Player_Num","Player_Name","Starting","PlayerURL","Nation","Pos","Age","Min","Gls","Ast","CrdY","CrdR","MatchURL"
2018-05-13,"Atalanta","Home","3-4-1-2","1","Etrit Berisha","Pitch","https://fbref.com/en/players/ee833569/Etrit-Berisha","ALB","GK","29-064",90,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","3","Rafael Tolói","Pitch","https://fbref.com/en/players/c56dc39e/Rafael-Toloi","ITA","CB","27-215",63,0,0,2,1,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","4","Bryan Cristante","Pitch","https://fbref.com/en/players/16657b95/Bryan-Cristante","ITA","AM,CM","23-071",68,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","5","Andrea Masiello","Pitch","https://fbref.com/en/players/e0314d87/Andrea-Masiello","ITA","CB","32-097",90,1,0,1,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","8","Robin Gosens","Pitch","https://fbref.com/en/players/2d970560/Robin-Gosens","GER","WB,LB","23-312",90,0,0,1,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","10","Papu Gómez","Pitch","https://fbref.com/en/players/6e4df551/Papu-Gomez","ARG","FW","30-087",90,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","11","Remo Freuler","Pitch","https://fbref.com/en/players/98d2c2c4/Remo-Freuler","SUI","CM,LM","26-028",90,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","13","Mattia Caldara","Pitch","https://fbref.com/en/players/ac7e640b/Mattia-Caldara","ITA","CB","24-008",90,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","15","Marten de Roon","Pitch","https://fbref.com/en/players/2a1beb34/Marten-de-Roon","NED","CM,RM","27-045",90,0,0,1,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","21","Timothy Castagne","Pitch","https://fbref.com/en/players/197640fd/Timothy-Castagne","BEL","WB,RB","22-159",78,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","99","Musa Barrow","Pitch","https://fbref.com/en/players/e5bf73f3/Musa-Barrow","GAM","FW","19-180",54,0,0,0,0,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","31","Francesco Rossi","Bench","https://fbref.com/en/players/7b5f516f/Francesco-Rossi",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
2018-05-13,"Atalanta","Home","3-4-1-2","91","Pierluigi Gollini","Bench","https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini",NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A"
