"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",NA,990,1,1,0,0,14,4,2,0,511,18,10,15,0.9,0.9,0.6,24,2,294,404,72.8,29,290,17,17,7
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",NA,990,2,1,0,0,14,6,0,0,722,17,10,12,1.7,1.7,0.9,25,2,510,602,84.7,43,438,16,21,8
"Serie A","2021-05-16","Serie A (Matchweek 37)","Milan","4-2-3-1",0,1.4,"","2","0","Cagliari","3-4-1-2",0,0.5,"","2","0","https://fbref.com/en/matches/8f871841/Milan-Cagliari-May-16-2021-Serie-A","Milan","Home",NA,990,0,0,0,0,21,2,2,0,770,13,7,13,1.4,1.4,1.1,30,0,533,642,83,50,402,30,21,15
"Serie A","2021-05-16","Serie A (Matchweek 37)","Milan","4-2-3-1",0,1.4,"","2","0","Cagliari","3-4-1-2",0,0.5,"","2","0","https://fbref.com/en/matches/8f871841/Milan-Cagliari-May-16-2021-Serie-A","Cagliari","Away",NA,990,0,0,0,0,7,2,2,0,550,13,19,11,0.5,0.5,0.4,12,0,310,407,76.2,34,228,7,11,6
"Serie A","2020-10-19","Serie A (Matchweek 4)","Hellas Verona","3-4-3",0,1.1,"","1","0","Genoa","3-5-2",0,0.4,"","4","0","https://fbref.com/en/matches/0390eade/Hellas-Verona-Genoa-October-19-2020-Serie-A","Hellas Verona","Home",NA,990,0,0,0,0,18,10,1,0,674,11,19,10,1.1,1.1,1,28,0,442,571,77.4,56,409,27,14,13
"Serie A","2020-10-19","Serie A (Matchweek 4)","Hellas Verona","3-4-3",0,1.1,"","1","0","Genoa","3-5-2",0,0.4,"","4","0","https://fbref.com/en/matches/0390eade/Hellas-Verona-Genoa-October-19-2020-Serie-A","Genoa","Away",NA,990,0,0,0,0,6,2,4,0,521,11,17,8,0.4,0.4,0.3,12,0,282,408,69.1,20,268,10,10,7
"Serie A","2021-02-12","Serie A (Matchweek 22)","Bologna","4-2-3-1",1,1.7,"Nicola Sansone · 1&rsquor;","3","0","Benevento","4-3-2-1",1,0.8,"Nicolas Viola · 60&rsquor;","2","0","https://fbref.com/en/matches/1480cba5/Bologna-Benevento-February-12-2021-Serie-A","Bologna","Home",NA,990,1,0,0,0,12,2,3,0,676,7,11,16,1.7,1.7,0.5,21,1,441,549,80.3,47,365,30,23,13
"Serie A","2021-02-12","Serie A (Matchweek 22)","Bologna","4-2-3-1",1,1.7,"Nicola Sansone · 1&rsquor;","3","0","Benevento","4-3-2-1",1,0.8,"Nicolas Viola · 60&rsquor;","2","0","https://fbref.com/en/matches/1480cba5/Bologna-Benevento-February-12-2021-Serie-A","Benevento","Away",NA,990,1,1,0,0,14,6,2,0,517,15,10,13,0.8,0.8,0.7,22,2,280,402,69.7,31,220,8,4,2
"Serie A","2020-09-27","Serie A (Matchweek 2)","Roma","3-4-3",2,2.8,"Jordan Veretout (P) · 31&rsquor; Jordan Veretout · 45+1&rsquor;","2","0","Juventus","4-4-2",2,1.9,"Cristiano Ronaldo (P) · 44&rsquor; Adrien Rabiot · 62&rsquor; Cristiano Ronaldo · 69&rsquor;","4","1","https://fbref.com/en/matches/813850ed/Roma-Juventus-September-27-2020-Serie-A","Roma","Home",NA,990,2,1,1,1,10,4,2,0,529,18,8,12,2.8,2,2,21,3,362,434,83.4,29,263,24,20,11
"Serie A","2020-09-27","Serie A (Matchweek 2)","Roma","3-4-3",2,2.8,"Jordan Veretout (P) · 31&rsquor; Jordan Veretout · 45+1&rsquor;","2","0","Juventus","4-4-2",2,1.9,"Cristiano Ronaldo (P) · 44&rsquor; Adrien Rabiot · 62&rsquor; Cristiano Ronaldo · 69&rsquor;","4","1","https://fbref.com/en/matches/813850ed/Roma-Juventus-September-27-2020-Serie-A","Juventus","Away",NA,961,2,1,1,1,7,2,3,1,728,13,13,7,1.9,1.1,1.1,13,3,561,648,86.6,38,449,15,15,11
