"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Serie A","M","ITA",2021,NA,"1","Sat",2020-09-19,"18:00","Fiorentina",1,1.9,"Torino",0,0.7,NA,"Stadio Artemio Franchi","Rosario Abisso","","https://fbref.com/en/matches/34e95e35/Fiorentina-Torino-September-19-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Sat",2020-09-19,"20:45","Hellas Verona",3,NA,"Roma",0,NA,NA,"Stadio Marc'Antonio Bentegodi","Daniele Chiffi","Match awarded to Hellas Verona","https://fbref.com/en/matches/e0a20cfe/Hellas-Verona-Roma-September-19-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Sun",2020-09-20,"12:30","Parma",0,0.3,"Napoli",2,1.6,1000,"Stadio Ennio Tardini","Maurizio Mariani","","https://fbref.com/en/matches/a3e10e13/Parma-Napoli-September-20-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Sun",2020-09-20,"15:00","Genoa",4,2.3,"Crotone",1,1.6,NA,"Stadio Comunale Luigi Ferraris","Giovanni Ayroldi","","https://fbref.com/en/matches/640f64f3/Genoa-Crotone-September-20-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Sun",2020-09-20,"18:00","Sassuolo",1,2.1,"Cagliari",1,0.9,850,"Mapei Stadium - Città del Tricolore","Livio Marinelli","","https://fbref.com/en/matches/e2711951/Sassuolo-Cagliari-September-20-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Sun",2020-09-20,"20:45","Juventus",3,2,"Sampdoria",0,0.8,1000,"Allianz Stadium","Marco Piccinini","","https://fbref.com/en/matches/bd0688ef/Juventus-Sampdoria-September-20-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Mon",2020-09-21,"20:45","Milan",2,2.6,"Bologna",0,1.1,1000,"Stadio Giuseppe Meazza","Federico La Penna","","https://fbref.com/en/matches/3019a52b/Milan-Bologna-September-21-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Wed",2020-09-30,"18:00","Benevento",2,1.5,"Inter",5,3.6,1000,"Stadio Ciro Vigorito","Marco Piccinini","","https://fbref.com/en/matches/1d2d65d6/Benevento-Internazionale-September-30-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Wed",2020-09-30,"18:00","Udinese",0,1.8,"Spezia",2,0.8,1000,"Dacia Arena","Alessandro Prontera","","https://fbref.com/en/matches/5ca8fe51/Udinese-Spezia-September-30-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"1","Wed",2020-09-30,"20:45","Lazio",1,2.3,"Atalanta",4,1.8,1000,"Stadio Olimpico","Fabio Maresca","","https://fbref.com/en/matches/895c84f1/Lazio-Atalanta-September-30-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sat",2020-12-05,"15:00","Spezia",1,1.5,"Lazio",2,0.5,NA,"Stadio Dino Manuzzi","Daniele Chiffi","","https://fbref.com/en/matches/3dbc3efe/Spezia-Lazio-December-5-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sat",2020-12-05,"18:00","Juventus",2,1.6,"Torino",1,1,NA,"Allianz Stadium","Daniele Orsato","","https://fbref.com/en/matches/bbc484d9/Juventus-Torino-December-5-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sat",2020-12-05,"20:45","Inter",3,2,"Bologna",1,1.4,NA,"Stadio Giuseppe Meazza","Paolo Valeri","","https://fbref.com/en/matches/f124eb7b/Internazionale-Bologna-December-5-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sun",2020-12-06,"12:30","Hellas Verona",1,2.7,"Cagliari",1,1.5,NA,"Stadio Marc'Antonio Bentegodi","Gianluca Manganiello","","https://fbref.com/en/matches/93ef5099/Hellas-Verona-Cagliari-December-6-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sun",2020-12-06,"15:00","Parma",0,0.7,"Benevento",0,0.4,NA,"Stadio Ennio Tardini","Juan Sacchi","","https://fbref.com/en/matches/7b689c67/Parma-Benevento-December-6-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sun",2020-12-06,"15:00","Roma",0,1.3,"Sassuolo",0,0.3,NA,"Stadio Olimpico","Fabio Maresca","","https://fbref.com/en/matches/930b2d30/Roma-Sassuolo-December-6-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sun",2020-12-06,"18:00","Crotone",0,0.3,"Napoli",4,1.7,NA,"Stadio Ezio Scida","Livio Marinelli","","https://fbref.com/en/matches/325e496e/Crotone-Napoli-December-6-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Sun",2020-12-06,"20:45","Sampdoria",1,1.2,"Milan",2,2.5,NA,"Stadio Comunale Luigi Ferraris","Giampaolo Calvarese","","https://fbref.com/en/matches/a4e5ebed/Sampdoria-Milan-December-6-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Mon",2020-12-07,"20:45","Fiorentina",1,2.6,"Genoa",1,1.3,NA,"Stadio Artemio Franchi","Daniele Doveri","","https://fbref.com/en/matches/50ad79b4/Fiorentina-Genoa-December-7-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"10","Wed",2021-01-20,"15:00","Udinese",1,0.4,"Atalanta",1,1.5,NA,"Dacia Arena","Giampaolo Calvarese","","https://fbref.com/en/matches/73e858c4/Udinese-Atalanta-January-20-2021-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Fri",2020-12-11,"20:45","Sassuolo",1,1.1,"Benevento",0,2.5,NA,"Mapei Stadium - Città del Tricolore","Simone Sozza","","https://fbref.com/en/matches/d5c7938e/Sassuolo-Benevento-December-11-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sat",2020-12-12,"15:00","Crotone",4,1.3,"Spezia",1,1,NA,"Stadio Ezio Scida","Antonio Giua","","https://fbref.com/en/matches/08beb229/Crotone-Spezia-December-12-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sat",2020-12-12,"18:00","Torino",2,1,"Udinese",3,1.3,NA,"Stadio Olimpico di Torino","Davide Massa","","https://fbref.com/en/matches/b51058d7/Torino-Udinese-December-12-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sat",2020-12-12,"20:45","Lazio",1,0.7,"Hellas Verona",2,0.9,NA,"Stadio Olimpico","Rosario Abisso","","https://fbref.com/en/matches/44411178/Lazio-Hellas-Verona-December-12-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"12:45","Cagliari",1,1.6,"Inter",3,2.8,NA,"Sardegna Arena","Fabrizio Pasqua","","https://fbref.com/en/matches/7201e4de/Cagliari-Internazionale-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"15:00","Napoli",2,1.5,"Sampdoria",1,1.1,NA,"Stadio Diego Armando Maradona","Federico La Penna","","https://fbref.com/en/matches/851607c8/Napoli-Sampdoria-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"15:00","Bologna",1,0.4,"Roma",5,3.1,NA,"Stadio Renato Dall'Ara","Giampaolo Calvarese","","https://fbref.com/en/matches/8b07dcf5/Bologna-Roma-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"15:00","Atalanta",3,2.7,"Fiorentina",0,0.3,NA,"Stadio Atleti Azzurri d'Italia","Maurizio Mariani","","https://fbref.com/en/matches/f015f974/Atalanta-Fiorentina-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"18:00","Genoa",1,0.2,"Juventus",3,3.4,NA,"Stadio Comunale Luigi Ferraris","Marco Di Bello","","https://fbref.com/en/matches/7b0d0f68/Genoa-Juventus-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"11","Sun",2020-12-13,"20:45","Milan",2,1.9,"Parma",2,0.5,NA,"Stadio Giuseppe Meazza","Francesco Fourneau","","https://fbref.com/en/matches/2bb01afd/Milan-Parma-December-13-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Tue",2020-12-15,"18:30","Udinese",0,1.3,"Crotone",0,0.2,NA,"Dacia Arena","Antonio Di Martino","","https://fbref.com/en/matches/c3cb40d3/Udinese-Crotone-December-15-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Tue",2020-12-15,"20:45","Benevento",1,1.4,"Lazio",1,0.7,NA,"Stadio Ciro Vigorito","Luca Pairetto","","https://fbref.com/en/matches/2266b847/Benevento-Lazio-December-15-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"18:30","Juventus",1,2.6,"Atalanta",1,0.9,NA,"Allianz Stadium","Daniele Doveri","","https://fbref.com/en/matches/b021ae83/Juventus-Atalanta-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Parma",0,1.1,"Cagliari",0,0.4,NA,"Stadio Ennio Tardini","Ivan Pezzuto","","https://fbref.com/en/matches/2dd73236/Parma-Cagliari-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Genoa",2,1.1,"Milan",2,2.2,NA,"Stadio Comunale Luigi Ferraris","Daniele Orsato","","https://fbref.com/en/matches/4cdf47d4/Genoa-Milan-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Hellas Verona",1,1.8,"Sampdoria",2,1,NA,"Stadio Marc'Antonio Bentegodi","Riccardo Ros","","https://fbref.com/en/matches/842b86b0/Hellas-Verona-Sampdoria-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Inter",1,1.2,"Napoli",0,2.2,NA,"Stadio Giuseppe Meazza","Davide Massa","","https://fbref.com/en/matches/b5f73bdc/Internazionale-Napoli-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Fiorentina",1,2.1,"Sassuolo",1,1.6,NA,"Stadio Artemio Franchi","Paolo Valeri","","https://fbref.com/en/matches/df0a6d79/Fiorentina-Sassuolo-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Wed",2020-12-16,"20:45","Spezia",2,2.5,"Bologna",2,1.4,NA,"Stadio Dino Manuzzi","Piero Giacomelli","","https://fbref.com/en/matches/e4e6e1f4/Spezia-Bologna-December-16-2020-Serie-A"
"Serie A","M","ITA",2021,NA,"12","Thu",2020-12-17,"20:45","Roma",3,3.1,"Torino",1,1,NA,"Stadio Olimpico","Rosario Abisso","","https://fbref.com/en/matches/1dab0587/Roma-Torino-December-17-2020-Serie-A"
