"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",40,294,404,73,18,8,25,511,18,10,16,9,2,5,23,75,"2","0","Sassuolo","4-2-3-1",60,510,602,85,15,2,7,722,17,10,10,23,1,12,16,58,"0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A"
"Serie A","2021-05-16","Serie A (Matchweek 37)","Milan","4-2-3-1",61,533,642,83,8,9,33,770,13,7,15,26,1,6,22,55,"2","0","Cagliari","3-4-1-2",39,310,407,76,8,7,22,550,13,19,25,41,0,15,24,66,"2","0","https://fbref.com/en/matches/8f871841/Milan-Cagliari-May-16-2021-Serie-A"
"Serie A","2020-10-19","Serie A (Matchweek 4)","Hellas Verona","3-4-3",58,442,571,77,14,14,44,674,11,19,23,11,1,5,18,71,"1","0","Genoa","3-5-2",42,282,408,69,13,2,10,521,11,17,26,36,1,11,16,72,"4","0","https://fbref.com/en/matches/0390eade/Hellas-Verona-Genoa-October-19-2020-Serie-A"
"Serie A","2021-02-12","Serie A (Matchweek 22)","Bologna","4-2-3-1",58,441,549,80,17,8,22,676,7,11,9,19,2,5,26,64,"3","0","Benevento","4-3-2-1",42,280,402,70,10,3,13,517,15,10,14,20,1,6,31,51,"2","0","https://fbref.com/en/matches/1480cba5/Bologna-Benevento-February-12-2021-Serie-A"
"Serie A","2020-09-27","Serie A (Matchweek 2)","Roma","3-4-3",40,362,434,83,19,5,14,529,18,8,11,20,0,5,12,59,"2","0","Juventus","4-4-2",60,561,648,87,9,7,19,728,13,13,7,7,4,4,18,55,"4","1","https://fbref.com/en/matches/813850ed/Roma-Juventus-September-27-2020-Serie-A"
"Serie A","2021-04-25","Serie A (Matchweek 33)","Cagliari","3-4-1-2",30,196,277,71,14,4,13,398,19,10,12,30,4,5,18,66,"3","0","Roma","3-4-3",70,555,651,85,17,10,25,743,9,9,18,11,1,6,24,78,"1","0","https://fbref.com/en/matches/71d115c5/Cagliari-Roma-April-25-2021-Serie-A"
"Serie A","2021-02-13","Serie A (Matchweek 22)","Spezia","4-3-3",46,313,415,75,18,5,22,528,11,15,12,9,1,6,19,75,"3","0","Milan","4-2-3-1",54,375,484,77,14,2,12,590,16,11,17,28,5,7,21,71,"1","0","https://fbref.com/en/matches/6a8f8283/Spezia-Milan-February-13-2021-Serie-A"
"Serie A","2020-12-15","Serie A (Matchweek 12)","Benevento","4-3-2-1",36,300,386,78,14,4,10,481,12,5,7,21,1,10,14,60,"2","1","Lazio","3-5-2",64,592,675,88,15,8,27,770,8,18,13,10,1,3,14,80,"2","0","https://fbref.com/en/matches/2266b847/Benevento-Lazio-December-15-2020-Serie-A"
"Serie A","2021-05-02","Serie A (Matchweek 34)","Napoli","4-2-3-1",55,498,567,88,8,3,7,708,15,14,19,19,4,4,14,55,"1","0","Cagliari","4-1-4-1",45,363,457,79,14,1,15,559,19,9,17,12,1,16,26,73,"3","0","https://fbref.com/en/matches/3c83d756/Napoli-Cagliari-May-2-2021-Serie-A"
"Serie A","2020-10-17","Serie A (Matchweek 4)","Sampdoria","4-4-2",52,458,584,78,12,4,25,669,13,7,15,18,0,10,21,81,"2","0","Lazio","3-5-2",48,437,535,82,10,3,17,653,10,25,12,23,2,4,18,71,"2","0","https://fbref.com/en/matches/2f58ef6d/Sampdoria-Lazio-October-17-2020-Serie-A"
"Serie A","2021-04-21","Serie A (Matchweek 32)","Juventus","4-4-2",64,643,733,88,12,6,25,810,10,3,11,13,2,6,15,61,"2","0","Parma","4-3-3",36,336,409,82,18,6,23,519,17,11,18,21,0,5,7,68,"2","0","https://fbref.com/en/matches/f27d2f16/Juventus-Parma-April-21-2021-Serie-A"
