"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",14,FALSE,1,"Goal","Giacomo Raspadori Assist: Hamed Junior Traorè","0:1",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",30,FALSE,1,"Yellow Card","Davide Zappacosta","0:1",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",46,FALSE,2,"Substitute","Eldor Shomurodov for Paolo Ghiglione","0:1",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",58,FALSE,2,"Substitute","Grégoire Defrel for Filip Đuričić","0:1",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",66,FALSE,2,"Goal","Domenico Berardi","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",68,FALSE,2,"Substitute","Francesco Cassata for Valon Behrami","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",68,FALSE,2,"Substitute","Nicolò Rovella for Goran Pandev","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",68,FALSE,2,"Substitute","Gianluca Scamacca for Mattia Destro","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",71,FALSE,2,"Substitute","Lukáš Haraslín for Hamed Junior Traorè","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",72,FALSE,2,"Substitute","Pedro Obiang for Giacomo Raspadori","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Genoa","Home",75,FALSE,2,"Substitute","Marko Pjaca for Miha Zajc","0:2",NA
"Serie A","2021-05-09","Serie A (Matchweek 35)","Genoa","3-5-2",1,0.8,"Davide Zappacosta · 85&rsquor;","2","0","Sassuolo","4-2-3-1",2,1.6,"Giacomo Raspadori · 14&rsquor; Domenico Berardi · 66&rsquor;","0","0","https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A","Sassuolo","Away",81,FALSE,2,"Substitute","Francesco Caputo for Domenico Berardi","0:2",NA
