Match_Key,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Match_Date,Result
12630,136,45.5,9.0,5.0,18.0,14.5,16.5,1.0,12.0,13.5,63.0,0.0,0.0,0.0,0.0,12.0,2.5,1.0,0.5,534.5,18.0,8.5,8.5,0.55,0.55,0.5,23.0,0.0,357.0,440.5,81.15,25.5,296.5,13.0,14.0,6.0,122,56.0,11.5,6.0,13.5,8.5,24.0,1.0,7.5,19.5,58.0,2.0,1.5,0.0,0.0,13.0,3.5,2.5,0.5,690.0,18.5,4.5,11.0,0.95,0.95,0.75,23.5,4.0,497.5,574.5,86.4,40.5,416.0,16.0,21.5,10.0,73.66666666666667,74.33333333333333,74.1,74.44444444444444,71.68181818181819,71.27272727272727,0.0,0.0,20240503.0,Draw
12629,131,40.0,13.0,2.0,11.0,15.5,19.5,2.0,8.5,18.5,62.5,0.5,0.0,0.5,0.5,7.0,2.0,1.5,0.0,490.5,13.5,6.5,14.0,1.0,0.6,0.4,12.5,1.0,308.0,393.0,78.05,18.0,265.0,8.5,16.0,7.5,127,31.5,13.0,2.0,11.5,12.0,39.0,0.5,8.5,15.0,67.0,2.0,1.0,1.0,1.0,8.5,4.0,2.0,0.0,430.0,12.0,8.0,8.5,1.65,0.8500000000000001,0.7,13.5,3.5,240.0,314.5,73.45,20.5,199.0,13.5,9.0,1.0,71.6,72.625,71.07142857142857,69.0,71.44444444444444,70.625,3.0,0.0,20240429.0,Win
12628,130,65.5,9.5,5.5,21.0,16.5,13.5,1.5,4.5,21.5,63.0,1.5,1.5,0.0,0.0,16.0,5.0,2.5,0.0,665.0,8.5,7.5,6.5,1.85,1.85,1.4500000000000002,28.5,3.0,473.0,569.0,83.15,45.0,365.5,27.0,19.5,13.0,126,44.0,11.0,5.5,15.5,18.0,22.0,0.5,9.5,24.0,72.5,1.5,1.0,0.0,0.0,10.0,4.0,2.0,0.0,476.5,16.5,9.0,10.0,0.8999999999999999,0.8999999999999999,0.4,16.5,2.5,258.5,378.0,68.1,36.5,219.0,12.5,17.0,8.5,76.81818181818181,76.17647058823529,73.0,70.0,71.07142857142857,71.375,5.0,1.0,20240428.0,Win
12627,135,69.5,11.5,7.0,22.5,15.5,12.5,1.5,8.0,26.0,68.0,1.0,1.0,0.0,0.0,14.5,4.5,2.5,0.5,760.0,13.0,6.5,7.5,1.4,1.4,1.3,26.5,1.5,555.5,664.0,83.7,49.5,425.5,25.5,21.5,8.5,129,62.5,9.0,8.0,26.0,12.5,12.0,1.0,5.5,19.0,47.5,1.5,1.0,0.0,0.0,16.5,4.5,3.5,0.0,743.5,16.5,7.5,9.5,1.75,1.75,1.0,25.0,2.5,551.5,648.0,85.0,54.0,435.0,19.5,13.0,5.5,79.16666666666667,76.33333333333333,77.0,77.1,76.04761904761905,77.15384615384616,2.0,2.0,20240428.0,Draw
12626,119,50.5,9.5,6.5,17.5,20.5,15.5,1.5,8.5,24.0,66.0,2.0,2.0,0.0,0.0,14.0,7.5,1.0,0.0,606.0,18.5,6.5,15.5,1.5,1.5,1.4,25.0,4.0,376.5,490.5,76.80000000000001,47.5,328.5,16.5,14.5,8.0,137,36.5,14.5,2.5,12.5,16.0,29.5,2.0,6.5,16.5,69.5,0.5,0.5,0.0,0.0,5.0,0.5,1.0,0.0,421.5,17.5,9.0,13.5,0.5,0.5,0.25,9.0,1.0,219.5,311.5,70.44999999999999,21.0,173.5,10.0,11.0,4.5,78.0,76.84210526315789,73.93333333333334,72.0,71.47058823529412,69.9090909090909,2.0,0.0,20240428.0,Win
12624,121,55.5,7.5,5.0,22.0,9.5,19.0,4.0,9.0,12.5,52.5,2.0,1.0,0.5,0.5,12.5,4.5,1.0,0.5,677.5,13.5,6.0,7.5,2.05,1.65,1.4500000000000002,23.0,3.5,510.0,591.5,85.95,43.5,431.5,25.0,10.0,4.0,136,50.5,14.0,6.0,27.0,18.0,14.0,1.0,7.5,15.5,70.0,0.0,0.0,0.0,0.0,13.0,2.0,2.5,0.0,542.0,18.0,5.0,7.5,0.6,0.6,0.5,24.5,0.0,354.5,449.0,79.0,31.5,275.5,20.0,15.0,4.5,81.6,79.26315789473684,80.58333333333333,73.63636363636364,74.46666666666667,74.18181818181819,2.0,0.0,20240428.0,Win
12625,122,54.5,12.5,6.0,13.5,7.0,21.5,1.0,6.0,21.5,54.5,1.5,1.5,0.0,0.0,14.0,5.0,3.0,0.0,643.5,13.5,6.5,11.5,1.6,1.6,1.45,26.0,3.0,465.0,544.5,85.4,51.0,388.0,19.0,16.5,8.0,120,37.5,13.5,5.0,14.5,18.5,36.5,3.5,7.0,16.0,58.5,0.5,0.0,0.0,0.0,13.5,2.0,2.5,0.0,452.0,15.0,7.0,17.5,1.2,1.2,0.8,22.0,0.5,224.5,318.5,70.44999999999999,23.0,193.0,10.5,11.5,4.0,75.14285714285714,71.68181818181819,71.5,73.6,73.33333333333333,70.1875,1.0,1.0,20240428.0,Draw
12621,141,49.5,15.5,7.0,17.0,23.5,22.5,1.5,7.5,25.0,89.5,2.0,2.0,0.0,0.0,14.0,7.0,0.5,0.0,492.5,15.5,4.0,9.0,2.5,2.5,2.1,26.5,4.0,279.5,395.0,70.65,19.5,254.5,12.5,14.0,9.5,145,48.0,13.5,1.0,8.0,12.5,24.0,0.0,7.5,21.0,65.5,0.5,0.5,0.0,0.0,10.5,1.0,3.5,0.0,577.0,12.5,10.0,12.0,0.75,0.75,0.65,19.0,1.0,398.5,476.5,83.2,22.5,287.5,16.0,17.5,10.5,71.36363636363636,68.9,71.125,70.7,72.75,73.63636363636364,1.0,1.0,20240427.0,Draw
12623,125,63.0,14.0,9.0,17.0,14.5,10.0,3.0,4.5,17.5,67.0,2.5,1.5,0.0,0.0,15.0,3.5,1.0,0.0,771.5,18.0,7.5,8.0,1.5,1.5,1.15,25.5,3.5,586.0,687.5,85.25,41.5,447.5,20.5,10.5,5.0,118,47.0,14.0,7.0,26.0,25.0,25.5,1.0,11.0,32.5,96.5,1.5,1.5,0.0,0.0,14.5,4.5,2.0,0.0,530.5,13.5,8.0,15.5,1.2,1.2,0.95,26.0,3.0,269.5,397.0,67.9,27.5,194.0,8.0,17.0,5.5,77.28571428571429,78.4,77.7,72.14285714285714,70.61538461538461,71.5,1.0,0.0,20240427.0,Win
12622,117,63.0,13.0,2.5,21.0,12.5,15.5,2.0,7.5,20.0,55.5,0.5,0.0,0.0,0.0,9.5,3.0,2.5,0.0,654.0,13.0,3.0,8.5,0.95,0.95,0.85,18.5,1.0,473.5,566.0,83.65,49.0,324.0,19.0,14.0,6.0,132,59.5,14.0,5.5,19.0,14.0,7.5,2.0,5.5,17.0,50.5,2.0,1.0,0.0,0.0,19.0,6.5,2.0,1.0,657.5,12.0,6.5,9.0,2.65,2.65,1.5,32.5,3.5,481.0,566.5,84.9,47.0,426.0,33.0,21.0,10.5,77.71428571428571,77.3157894736842,78.0,81.375,76.54545454545455,69.27272727272727,0.0,0.0,20240427.0,Draw
