Match_Key,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Match_Date
12630,136,47,14,2,15,13,14,0,6,18,52,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,571.0,15.0,15.0,7.0,0.7,0.7,0.1,14.0,0.0,386.0,471.0,82.0,24.0,389.0,10.0,10.0,3.0,122,53,11,4,11,9,16,1,5,17,66,0,0,0,0,5,1,2,0,612,13,7,11,0.2,0.2,0.1,9,0,427,530,80.6,31,403,16,7,3,73.66666666666667,74.33333333333333,74.1,74.44444444444444,71.68181818181819,71.27272727272727,0,0,20240503
9988,93,43,2,2,14,4,4,0,4,5,20,0.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,251.0,8.0,4.0,4.0,0.2,0.2,0.2,6.0,0.0,178.0,217.0,82.0,16.0,124.0,6.0,6.0,3.0,104,57,5,2,9,3,14,1,2,5,20,1,1,0,0,5,2,3,1,331,4,1,2,0.6,0.6,0.6,9,2,258,288,89.6,20,184,9,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240503
12629,131,62,12,2,19,21,16,2,12,22,71,3.0,3.0,0.0,0.0,12.0,5.0,0.0,0.0,701.0,17.0,12.0,9.0,1.2,1.2,1.1,22.0,6.0,481.0,594.0,81.0,33.0,404.0,15.0,9.0,3.0,127,38,14,4,21,20,12,3,10,31,67,0,0,0,0,12,1,2,0,463,10,8,15,1.1,1.1,1.1,19,0,249,365,68.2,28,186,9,14,8,71.6,72.625,71.07142857142857,69.0,71.44444444444444,70.625,3,0,20240429
7804,66,81,12,15,29,12,4,2,1,20,69,4.0,3.0,0.0,0.0,27.0,13.0,1.0,0.0,913.0,10.0,7.0,8.0,2.2,2.2,1.3,47.0,7.0,713.0,800.0,89.1,87.0,568.0,30.0,15.0,6.0,61,19,5,1,6,5,21,2,10,11,56,2,0,1,1,4,2,0,1,292,15,9,10,2.1,1.3,0.6,9,4,112,192,58.3,8,111,8,14,5,0.0,0.0,0.0,0.0,0.0,0.0,4,2,20240429
9985,97,52,3,3,20,19,22,0,7,30,87,0.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,708.0,21.0,11.0,13.0,0.9,0.9,0.8,23.0,0.0,450.0,600.0,75.0,26.0,431.0,16.0,14.0,4.0,110,48,13,4,19,29,19,0,6,25,93,0,0,0,0,14,7,2,0,686,15,11,19,1.0,1.0,0.6,22,0,430,564,76.2,53,325,8,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20240428
12628,130,67,9,10,20,23,8,2,7,13,59,5.0,5.0,0.0,0.0,22.0,10.0,2.0,0.0,734.0,12.0,3.0,7.0,3.3,3.3,3.0,38.0,10.0,571.0,651.0,87.7,65.0,439.0,24.0,22.0,11.0,126,33,9,2,9,10,20,0,8,13,65,1,1,0,0,7,2,2,0,405,16,7,7,0.3,0.3,0.2,13,2,234,323,72.4,21,195,8,12,5,76.81818181818181,76.17647058823529,73.0,70.0,71.07142857142857,71.375,5,1,20240428
2511,11,47,14,7,27,10,28,1,5,13,62,4.0,3.0,0.0,0.0,21.0,7.0,4.0,0.0,533.0,16.0,8.0,12.0,2.7,2.7,1.0,36.0,7.0,328.0,408.0,80.4,55.0,342.0,21.0,26.0,17.0,25,53,15,4,22,20,29,2,4,16,84,4,2,0,0,10,5,1,0,577,24,5,12,2.0,2.0,1.4,17,5,368,465,79.1,34,378,13,12,3,0.0,0.0,0.0,0.0,0.0,0.0,4,5,20240428
2510,27,50,9,5,19,10,12,4,9,18,67,4.0,2.0,2.0,2.0,10.0,4.0,0.0,0.0,531.0,21.0,13.0,5.0,2.9,1.4,1.2,20.0,7.0,340.0,438.0,77.6,38.0,380.0,11.0,16.0,7.0,22,50,12,5,13,8,16,1,4,22,65,1,0,0,0,10,3,3,1,547,18,12,15,0.9,0.9,0.8,18,2,354,438,80.8,41,372,16,19,10,0.0,0.0,0.0,0.0,0.0,0.0,4,1,20240428
12627,135,49,11,9,19,8,7,1,4,15,58,2.0,1.0,1.0,1.0,25.0,8.0,2.0,0.0,565.0,17.0,12.0,12.0,3.0,2.2,1.8,47.0,3.0,388.0,461.0,84.2,39.0,364.0,27.0,24.0,13.0,129,51,5,2,8,7,16,1,11,14,44,2,1,1,1,9,3,0,0,592,15,6,10,1.6,0.8,0.8,18,3,415,489,84.9,30,335,14,13,7,79.16666666666667,76.33333333333333,77.0,77.1,76.04761904761905,77.15384615384616,2,2,20240428
2507,5,30,15,2,9,8,17,4,9,15,62,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,405.0,17.0,13.0,8.0,1.1,0.3,0.1,5.0,1.0,228.0,318.0,71.7,18.0,261.0,12.0,18.0,10.0,8,70,12,4,16,10,10,0,5,20,60,2,1,0,0,14,4,2,0,826,16,7,7,0.8,0.8,0.6,26,3,658,743,88.6,69,657,18,16,9,0.0,0.0,0.0,0.0,0.0,0.0,1,2,20240428
