Match_Key,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Match_Date
12630,136,45.5,9.0,5.0,18.0,14.5,16.5,1.0,12.0,13.5,63.0,0.0,0.0,0.0,0.0,12.0,2.5,1.0,0.5,534.5,18.0,8.5,8.5,0.55,0.55,0.5,23.0,0.0,357.0,440.5,81.15,25.5,296.5,13.0,14.0,6.0,122,56.0,11.5,6.0,13.5,8.5,24.0,1.0,7.5,19.5,58.0,2.0,1.5,0.0,0.0,13.0,3.5,2.5,0.5,690.0,18.5,4.5,11.0,0.9500000000000001,0.9500000000000001,0.75,23.5,4.0,497.5,574.5,86.4,40.5,416.0,16.0,21.5,10.0,73.66666666666667,74.33333333333333,74.1,74.44444444444444,71.68181818181819,71.27272727272727,0.0,0.0,20240503.0
9988,93,56.5,8.5,5.0,19.5,24.0,25.5,2.5,8.5,18.5,67.5,3.0,3.0,0.0,0.0,19.0,6.5,1.0,0.0,688.5,11.0,12.5,12.0,1.7,1.7,1.55,34.0,4.5,449.0,565.5,78.0,34.5,406.5,26.0,15.0,7.5,104,50.0,9.5,5.5,12.0,9.0,16.0,2.0,6.5,19.0,51.0,3.0,2.0,0.0,0.0,16.5,5.5,1.0,0.0,603.5,15.5,7.0,13.5,2.2,2.2,1.85,29.5,5.5,415.0,500.0,83.05,37.0,324.0,24.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20240503.0
12629,131,40.0,13.0,2.0,11.0,15.5,19.5,2.0,8.5,18.5,62.5,0.5,0.0,0.5,0.5,7.0,2.0,1.5,0.0,490.5,13.5,6.5,14.0,1.0,0.6,0.4,12.5,1.0,308.0,393.0,78.05,18.0,265.0,8.5,16.0,7.5,127,31.5,13.0,2.0,11.5,12.0,39.0,0.5,8.5,15.0,67.0,2.0,1.0,1.0,1.0,8.5,4.0,2.0,0.0,430.0,12.0,8.0,8.5,1.6500000000000001,0.8500000000000001,0.7,13.5,3.5,240.0,314.5,73.45,20.5,199.0,13.5,9.0,1.0,71.6,72.625,71.07142857142857,69.0,71.44444444444444,70.625,3.0,0.0,20240429.0
7804,66,57.5,13.5,6.0,16.5,7.0,17.5,2.0,9.0,20.0,63.5,1.5,0.5,0.0,0.0,13.5,3.5,2.5,0.0,696.0,14.5,7.5,8.0,1.15,1.15,0.6,23.0,1.5,505.5,592.0,85.45,41.5,405.0,16.0,23.0,8.0,61,44.5,14.0,4.0,17.5,18.0,24.0,2.5,10.0,21.5,74.0,1.0,0.5,0.5,0.5,5.5,3.5,2.0,0.0,554.5,17.5,8.0,16.0,0.65,0.30000000000000004,0.25,11.0,2.0,314.0,430.5,72.0,29.5,271.0,12.5,16.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,20240429.0
9985,97,43.5,12.0,3.5,17.5,15.5,18.0,1.5,9.0,15.0,53.0,2.0,2.0,0.0,0.0,15.5,5.5,2.0,0.0,573.5,15.5,9.0,16.5,1.1,1.1,1.0,27.5,4.0,377.0,467.5,80.65,39.0,335.0,21.0,12.0,5.5,110,45.0,9.0,4.5,25.5,16.5,23.0,1.5,9.5,22.5,72.5,0.5,0.5,0.0,0.0,16.0,3.5,0.5,0.0,599.0,17.5,7.5,13.5,1.5,1.5,1.3,29.5,1.0,391.5,481.5,81.30000000000001,42.5,320.0,17.0,19.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20240428.0
12628,130,65.5,9.5,5.5,21.0,16.5,13.5,1.5,4.5,21.5,63.0,1.5,1.5,0.0,0.0,16.0,5.0,2.5,0.0,665.0,8.5,7.5,6.5,1.85,1.85,1.4500000000000002,28.5,3.0,473.0,569.0,83.15,45.0,365.5,27.0,19.5,13.0,126,44.0,11.0,5.5,15.5,18.0,22.0,0.5,9.5,24.0,72.5,1.5,1.0,0.0,0.0,10.0,4.0,2.0,0.0,476.5,16.5,9.0,10.0,0.8999999999999999,0.8999999999999999,0.4,16.5,2.5,258.5,378.0,68.1,36.5,219.0,12.5,17.0,8.5,76.81818181818181,76.17647058823529,73.0,70.0,71.07142857142857,71.375,5.0,1.0,20240428.0
2511,11,55.0,15.5,7.5,15.5,16.0,16.5,0.0,4.5,15.0,61.0,2.0,1.5,0.5,0.5,16.0,4.0,3.5,0.0,612.0,7.0,7.5,8.5,1.7,1.3,1.15,32.5,4.0,422.5,510.5,82.75,55.0,442.5,26.0,32.0,18.5,25,51.5,7.5,7.0,19.5,14.0,22.5,1.5,6.5,12.0,69.0,1.5,1.0,0.0,0.0,17.0,4.5,5.0,0.5,598.5,23.5,11.5,11.5,1.15,1.15,0.9,28.0,2.5,370.5,469.0,79.65,43.5,395.0,19.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,20240428.0
2510,27,51.5,14.5,3.0,16.5,13.5,19.0,1.5,7.0,20.0,63.0,0.5,0.0,0.5,0.5,8.5,1.0,2.5,0.0,622.0,21.5,11.0,10.5,1.1,0.7,0.39999999999999997,17.0,1.0,412.0,513.0,80.35,41.5,439.5,13.0,13.0,6.0,22,52.5,16.5,6.0,22.5,10.0,16.5,3.0,7.0,13.5,48.5,1.0,1.0,0.0,0.0,14.5,3.0,3.0,0.5,565.5,13.0,6.0,9.5,1.0,1.0,0.75,25.5,2.0,386.0,464.5,82.30000000000001,44.0,404.0,22.0,15.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20240428.0
12627,135,69.5,11.5,7.0,22.5,15.5,12.5,1.5,8.0,26.0,68.0,1.0,1.0,0.0,0.0,14.5,4.5,2.5,0.5,760.0,13.0,6.5,7.5,1.4000000000000001,1.4000000000000001,1.3,26.5,1.5,555.5,664.0,83.7,49.5,425.5,25.5,21.5,8.5,129,62.5,9.0,8.0,26.0,12.5,12.0,1.0,5.5,19.0,47.5,1.5,1.0,0.0,0.0,16.5,4.5,3.5,0.0,743.5,16.5,7.5,9.5,1.75,1.75,1.0,25.0,2.5,551.5,648.0,85.0,54.0,435.0,19.5,13.0,5.5,79.16666666666667,76.33333333333333,77.0,77.1,76.04761904761905,77.15384615384616,2.0,2.0,20240428.0
2507,5,33.0,15.0,3.5,11.5,18.0,36.5,1.0,13.5,17.5,75.0,1.5,1.0,0.0,0.0,10.0,3.5,2.5,0.0,428.5,11.5,8.5,13.5,1.1,1.1,0.7,17.0,2.5,209.5,310.5,67.5,15.0,240.0,9.0,18.0,8.0,8,55.0,10.0,4.5,12.0,10.0,16.5,1.5,6.0,21.0,61.5,0.5,0.5,0.0,0.0,9.5,3.0,2.0,0.0,647.5,17.5,6.0,8.5,1.05,1.05,1.0,17.5,1.0,456.0,550.5,82.85,37.0,481.5,15.5,18.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20240428.0
